"Damage","Displacement:0","Displacement:1","Displacement:2","Pressure","F33","J","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.33437,0.77435,0.35854,0,-0.041679,0.98517,1.6031,0.0075011,0.00068918,0,0.00071279,0.02728,0,0,0,0,1,0.105,-2.895,0.01035,0
0.33502,0.77433,0.35853,0,-0.042076,0.98516,1.4361,0.0074202,-0.00036826,0,-0.00039199,0.026841,0,0,0,0,1,0.108,-2.892,0.01036,0
0.33398,0.77432,0.35853,0,-0.041722,0.98537,1.3197,0.0074023,0.00013282,0,0.000129,0.027008,0,0,0,0,1,0.111,-2.889,0.01037,0
0.33264,0.7743,0.35853,0,-0.041036,0.98508,1.7431,0.0070988,0.0001033,0,8.9696e-05,0.027455,0,0,0,0,1,0.114,-2.886,0.01038,0
0.33172,0.77428,0.35853,0,-0.041325,0.98559,1.296,0.0075858,7.0327e-05,0,5.8921e-05,0.026078,0,0,0,0,1,0.117,-2.883,0.01039,0
0.3315,0.77427,0.35853,0,-0.042212,0.98554,1.0971,0.0077694,-0.00079566,0,-0.00084542,0.027111,0,0,0,0,1,0.12,-2.88,0.0104,0
0.32901,0.77425,0.35852,0,-0.042003,0.98517,1.2907,0.0079711,-0.00025792,0,-0.00028183,0.027602,0,0,0,0,1,0.123,-2.877,0.01041,0
0.32828,0.77424,0.35852,0,-0.042976,0.98527,1.126,0.0083348,-0.00067668,0,-0.00071973,0.027598,0,0,0,0,1,0.126,-2.874,0.01042,0
0.32377,0.77423,0.35851,0,-0.042267,0.9849,1.2952,0.0086677,-0.00070058,0,-0.00074135,0.027459,0,0,0,0,1,0.129,-2.871,0.01043,0
0.3203,0.77421,0.35851,0,-0.043192,0.98456,1.3719,0.0091405,-0.0013691,0,-0.0014281,0.028242,0,0,0,0,1,0.132,-2.868,0.01044,0
0.31401,0.7742,0.3585,0,-0.04424,0.98432,1.2599,0.0099546,-0.0013999,0,-0.0014453,0.029964,0,0,0,0,1,0.135,-2.865,0.01045,0
0.30308,0.77418,0.35849,0,-0.044417,0.98274,1.6323,0.0087205,-0.002162,0,-0.0021808,0.033924,0,0,0,0,1,0.138,-2.862,0.01046,0
0.29091,0.77417,0.35848,0,-0.045009,0.98317,1.2166,0.0090043,-0.0012181,0,-0.00122,0.035464,0,0,0,0,1,0.141,-2.859,0.01047,0
0.27639,0.77414,0.35848,0,-0.042336,0.98432,0.90812,0.008245,0.00060396,0,0.00065604,0.035128,0,0,0,0,1,0.144,-2.856,0.01048,0
0.26612,0.77413,0.35849,0,-0.038017,0.986,0.94492,0.0091174,0.0022506,0,0.0023376,0.032864,0,0,0,0,1,0.147,-2.853,0.01049,0
0.25868,0.77411,0.3585,0,-0.034437,0.98716,0.78843,0.0089214,0.0017335,0,0.0017983,0.029204,0,0,0,0,1,0.15,-2.85,0.0105,0
0.25559,0.7741,0.3585,0,-0.033035,0.98766,1.0104,0.0084702,0.00011165,0,0.00012595,0.028312,0,0,0,0,1,0.153,-2.847,0.01051,0
0.25195,0.77408,0.35851,0,-0.031711,0.98807,0.82814,0.0077176,0.0001591,0,0.00016803,0.028732,0,0,0,0,1,0.156,-2.844,0.01052,0
0.25171,0.77407,0.35851,0,-0.031862,0.98803,0.89262,0.0079433,0.00011114,0,0.00011169,0.028375,0,0,0,0,1,0.159,-2.841,0.01053,0
0.25198,0.77406,0.3585,0,-0.032105,0.98793,0.73174,0.0084425,-0.00024915,0,-0.00027278,0.028186,0,0,0,0,1,0.162,-2.838,0.01054,0
0.25345,0.77404,0.3585,0,-0.032881,0.98767,0.86637,0.0089024,-0.00094595,0,-0.00098871,0.028293,0,0,0,0,1,0.165,-2.835,0.01055,0
0.25702,0.77403,0.35849,0,-0.035321,0.98688,0.90924,0.009182,-0.0015068,0,-0.001573,0.029596,0,0,0,0,1,0.168,-2.832,0.01056,0
0.26163,0.77402,0.35848,0,-0.038425,0.98568,0.82956,0.0092012,-0.0028145,0,-0.0029464,0.034017,0,0,0,0,1,0.171,-2.829,0.01057,0
0.27127,0.774,0.35847,0,-0.0434,0.98439,0.72667,0.009712,-0.001993,0,-0.0021126,0.036709,0,0,0,0,1,0.174,-2.826,0.01058,0
0.28264,0.77398,0.35847,0,-0.04497,0.98334,1.0634,0.0097175,0.0012351,0,0.0012337,0.036177,0,0,0,0,1,0.177,-2.823,0.01059,0
0.29289,0.77396,0.35847,0,-0.04459,0.98303,1.4542,0.01062,0.0025059,0,0.0025617,0.033069,0,0,0,0,1,0.18,-2.82,0.0106,0
0.29799,0.77395,0.35849,0,-0.04277,0.98405,1.5176,0.01132,0.0020427,0,0.0021111,0.030839,0,0,0,0,1,0.183,-2.817,0.01061,0
0.30114,0.77394,0.35849,0,-0.042836,0.98526,0.87367,0.011567,-1.0982e-05,0,1.5992e-05,0.029464,0,0,0,0,1,0.186,-2.814,0.01062,0
0.29689,0.77393,0.35849,0,-0.042289,0.98406,1.6114,0.011752,-0.00091662,0,-0.00089608,0.02894,0,0,0,0,1,0.189,-2.811,0.01063,0
0.29043,0.77392,0.35849,0,-0.04415,0.98315,1.1351,0.011245,-0.0030764,0,-0.0030931,0.032388,0,0,0,0,1,0.192,-2.808,0.01064,0
0.27954,0.7739,0.35848,0,-0.044947,0.9835,0.98239,0.0098632,-0.0015856,0,-0.0015266,0.037192,0,0,0,0,1,0.195,-2.805,0.01065,0
0.26728,0.77388,0.35849,0,-0.043163,0.98408,0.89665,0.0089652,0.0015029,0,0.0016655,0.038665,0,0,0,0,1,0.198,-2.802,0.01066,0
0.25752,0.77386,0.35851,0,-0.03894,0.98553,0.92829,0.0092978,0.0029464,0,0.0031442,0.03196,0,0,0,0,1,0.201,-2.799,0.01067,0
0.24994,0.77385,0.35853,0,-0.034548,0.98703,1.0068,0.0093328,0.0020403,0,0.0022046,0.030457,0,0,0,0,1,0.204,-2.796,0.01068,0
0.24522,0.77383,0.35854,0,-0.031527,0.98806,0.84085,0.0085841,0.0017275,0,0.0018753,0.029069,0,0,0,0,1,0.207,-2.793,0.01069,0
