"Damage","Displacement:0","Displacement:1","Displacement:2","Pressure","F33","J","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.76303,0.36336,0,3.1941e-07,1,1,-1.0174e-06,1.8079e-08,0,1.8084e-08,1.2951e-08,0,0,0,0,1,0.087058,-2.9129,1.942e-06,0
0,0.76303,0.36336,0,3.2628e-07,1,1,-1.044e-06,-9.3347e-09,0,-9.3301e-09,-1.06e-09,0,0,0,0,1,0.09006,-2.9099,1.94e-06,0
0,0.76303,0.36336,0,3.3337e-07,1,1,-1.0595e-06,-7.4176e-09,0,-7.4128e-09,-4.4354e-09,0,0,0,0,1,0.093062,-2.9069,1.938e-06,0
0,0.76303,0.36336,0,3.3695e-07,1,1,-1.0763e-06,1.992e-08,0,1.9925e-08,4.7243e-10,0,0,0,0,1,0.096064,-2.9039,1.936e-06,0
0,0.76303,0.36336,0,3.3829e-07,1,1,-1.0835e-06,1.5736e-08,0,1.5741e-08,1.3809e-08,0,0,0,0,1,0.099066,-2.9009,1.934e-06,0
0,0.76303,0.36336,0,3.4084e-07,1,1,-1.0949e-06,-1.2057e-08,0,-1.2052e-08,-2.0223e-09,0,0,0,0,1,0.10207,-2.8979,1.932e-06,0
0,0.76303,0.36336,0,3.4181e-07,1,1,-1.0965e-06,1.4713e-08,0,1.4719e-08,-2.1996e-09,0,0,0,0,1,0.10507,-2.8949,1.93e-06,0
0,0.76303,0.36336,0,3.3904e-07,1,1,-1.092e-06,-1.5255e-08,0,-1.525e-08,1.4922e-08,0,0,0,0,1,0.10807,-2.8919,1.928e-06,0
0,0.76303,0.36336,0,3.3782e-07,1,1,-1.0878e-06,-2.0638e-08,0,-2.0633e-08,8.7352e-10,0,0,0,0,1,0.11107,-2.8889,1.926e-06,0
0,0.76303,0.36336,0,3.3552e-07,1,1,-1.0772e-06,7.13e-09,0,7.1353e-09,9.666e-09,0,0,0,0,1,0.11408,-2.8859,1.924e-06,0
0,0.76303,0.36336,0,3.2975e-07,1,1,-1.0697e-06,-1.4654e-08,0,-1.4649e-08,1.2085e-08,0,0,0,0,1,0.11708,-2.8829,1.922e-06,0
0,0.76303,0.36336,0,3.2234e-07,1,1,-1.0395e-06,9.665e-09,0,9.6702e-09,1.408e-08,0,0,0,0,1,0.12008,-2.8799,1.92e-06,0
0,0.76303,0.36336,0,3.1383e-07,1,1,-1.027e-06,-2.2191e-08,0,-2.2186e-08,1.7745e-08,0,0,0,0,1,0.12308,-2.8769,1.918e-06,0
0,0.76303,0.36336,0,3.0615e-07,1,1,-9.9254e-07,3.5595e-09,0,3.5647e-09,1.1967e-08,0,0,0,0,1,0.12608,-2.8739,1.916e-06,0
0,0.76303,0.36336,0,2.9384e-07,1,1,-9.7034e-07,-2.5765e-08,0,-2.576e-08,1.7328e-08,0,0,0,0,1,0.12909,-2.8709,1.914e-06,0
0,0.76303,0.36336,0,2.8301e-07,1,1,-9.2681e-07,-2.9232e-08,0,-2.9227e-08,-1.3137e-09,0,0,0,0,1,0.13209,-2.8679,1.912e-06,0
0,0.76303,0.36336,0,2.6896e-07,1,1,-8.9723e-07,4.5092e-10,0,4.5571e-10,1.1517e-08,0,0,0,0,1,0.13509,-2.8649,1.91e-06,0
0,0.76303,0.36336,0,2.5345e-07,1,1,-8.4045e-07,-3.1594e-08,0,-3.159e-08,1.5602e-09,0,0,0,0,1,0.13809,-2.8619,1.908e-06,0
0,0.76303,0.36336,0,2.3721e-07,1,1,-8.0331e-07,-1.6554e-09,0,-1.6509e-09,9.2854e-09,0,0,0,0,1,0.14109,-2.8589,1.906e-06,0
