"Damage","Displacement:0","Displacement:1","Displacement:2","Pressure","F33","J","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.84198,0.77527,0.35771,0,-0.29227,0.96586,-5.4058,-0.00088453,0.0025607,0,0.0035526,0.017177,0,0,0,0,1,0,-3,0.002,0
0.8433,0.77515,0.35781,0,-0.31061,0.96113,-42.561,-0.00089354,-0.0043526,0,-0.005432,0.025709,0,0,0,0,1,0.0030019,-2.997,0.002,0
0.8474,0.77506,0.35782,0,-0.32551,0.96092,-43.275,0.0013507,-0.0022269,0,-0.0028836,0.024574,0,0,0,0,1,0.0060041,-2.994,0.002,0
0.85552,0.77502,0.35778,0,-0.37326,0.94427,-60.199,0.0021072,0.00032592,0,0.00093144,0.053067,0,0,0,0,1,0.009006,-2.991,0.002,0
0.84774,0.77497,0.3577,0,-0.36405,0.93935,6.2321,0.0016488,0.0030566,0,0.0044794,0.026418,0,0,0,0,1,0.012008,-2.988,0.002,0
0.84861,0.77493,0.35785,0,-0.33988,0.95339,-39.546,0.0019845,-0.002115,0,-0.0028085,0.023358,0,0,0,0,1,0.01501,-2.985,0.002,0
0.84629,0.77491,0.35784,0,-0.3481,0.94955,-50.136,0.0011667,0.0023703,0,0.0034116,0.022112,0,0,0,0,1,0.018012,-2.982,0.002,0
0.85104,0.77485,0.35788,0,-0.3555,0.95246,-60.241,0.001185,-0.0036088,0,-0.0052141,0.024341,0,0,0,0,1,0.021014,-2.979,0.002,0
0.84665,0.77483,0.35777,0,-0.35541,0.9583,-16.226,0.0029428,0.00041558,0,0.00059451,0.02412,0,0,0,0,1,0.024016,-2.976,0.002,0
0.85026,0.77482,0.35779,0,-0.37696,0.94252,-46.127,0.0030715,-0.00044159,0,-0.00056972,0.023749,0,0,0,0,1,0.027018,-2.973,0.002,0
0.85531,0.77477,0.35795,0,-0.36921,0.94631,-73.538,0.0018716,-0.00028775,0,-0.0013105,0.037782,0,0,0,0,1,0.03002,-2.97,0.002,0
0.85086,0.77478,0.35782,0,-0.35173,0.96151,-29.736,0.0026025,0.0030521,0,0.0044469,0.024957,0,0,0,0,1,0.033022,-2.967,0.002,0
0.85218,0.77475,0.35798,0,-0.35308,0.93912,-69.479,0.0013257,-0.00050013,0,-0.0016903,0.034812,0,0,0,0,1,0.036024,-2.964,0.002,0
0.8527,0.77472,0.3578,0,-0.37156,0.9474,-39.008,0.0027319,0.0036567,0,0.0050891,0.027158,0,0,0,0,1,0.039026,-2.961,0.002,0
0.849,0.7747,0.35778,0,-0.36148,0.94984,-3.0145,0.0016135,0.00028288,0,0.00078984,0.034966,0,0,0,0,1,0.042028,-2.958,0.002,0
0.85015,0.77469,0.35785,0,-0.36429,0.95118,-44.557,0.0017278,-0.00019292,0,-0.00073219,0.040451,0,0,0,0,1,0.04503,-2.955,0.002,0
0.85131,0.77468,0.35797,0,-0.35487,0.94647,-71.896,0.0012766,-0.0014913,0,-0.002134,0.022575,0,0,0,0,1,0.048032,-2.952,0.002,0
0.84491,0.77463,0.35785,0,-0.34876,0.95317,-27.798,0.0014539,-0.00012453,0,-0.00026711,0.032067,0,0,0,0,1,0.051034,-2.949,0.002,0
