"Damage","Displacement:0","Displacement:1","Displacement:2","F33","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.81,0.0035091,0.09305,0,0.95504,-0.44208,0.0004068,-0.008259,0,0.0050721,0.017224,0,0,0,0,1,0,0,0.52,0
0.81,0.0033872,0.093047,0,0.95227,-0.46863,0.0016163,-0.0038778,0,0.00019966,0.017755,0,0,0,0,1,0.00255,0.00255,0.52,0
0.81,0.0032653,0.093044,0,0.9495,-0.49518,0.0016163,-0.0038778,0,0.00019966,0.017755,0,0,0,0,1,0.0051,0.0051,0.52,0
0.81,0.0031434,0.093041,0,0.94674,-0.52173,0.0016163,-0.0038778,0,0.00019966,0.017755,0,0,0,0,1,0.00765,0.00765,0.52,0
0.81,0.0030215,0.093039,0,0.94397,-0.54828,0.0016163,-0.0038778,0,0.00019966,0.017755,0,0,0,0,1,0.0102,0.0102,0.52,0
0.81,0.0028996,0.093036,0,0.9412,-0.57484,0.0016163,-0.0038778,0,0.00019966,0.017755,0,0,0,0,1,0.01275,0.01275,0.52,0
0.81,0.0027777,0.093033,0,0.93844,-0.60139,0.0016163,-0.0038778,0,0.00019966,0.017755,0,0,0,0,1,0.0153,0.0153,0.52,0
0.81,0.0026558,0.09303,0,0.93567,-0.62794,0.0016163,-0.0038778,0,0.00019966,0.017755,0,0,0,0,1,0.01785,0.01785,0.52,0
0.81,0.0025339,0.093028,0,0.9329,-0.65449,0.0016163,-0.0038778,0,0.00019966,0.017755,0,0,0,0,1,0.0204,0.0204,0.52,0
0.81,0.002412,0.093025,0,0.93013,-0.68105,0.0016163,-0.0038778,0,0.00019966,0.017755,0,0,0,0,1,0.02295,0.02295,0.52,0
0.81,0.0022986,0.093027,0,0.92787,-0.70253,0.0041777,-0.0023503,0,-0.00010986,0.018531,0,0,0,0,1,0.0255,0.0255,0.52,0
0.81,0.0022199,0.093048,0,0.92764,-0.70325,0.0041777,-0.0023503,0,-0.00010986,0.018531,0,0,0,0,1,0.02805,0.02805,0.52,0
0.81,0.0021413,0.09307,0,0.92742,-0.70397,0.0041777,-0.0023503,0,-0.00010986,0.018531,0,0,0,0,1,0.0306,0.0306,0.52,0
0.81,0.0020626,0.093091,0,0.9272,-0.70468,0.0041777,-0.0023503,0,-0.00010986,0.018531,0,0,0,0,1,0.03315,0.03315,0.52,0
0.81,0.0019839,0.093112,0,0.92698,-0.7054,0.0041777,-0.0023503,0,-0.00010986,0.018531,0,0,0,0,1,0.0357,0.0357,0.52,0
0.81,0.0019053,0.093134,0,0.92675,-0.70612,0.0041777,-0.0023503,0,-0.00010986,0.018531,0,0,0,0,1,0.03825,0.03825,0.52,0
0.81,0.0018266,0.093155,0,0.92653,-0.70684,0.0041777,-0.0023503,0,-0.00010986,0.018531,0,0,0,0,1,0.0408,0.0408,0.52,0
0.81,0.0017479,0.093176,0,0.92631,-0.70755,0.0041777,-0.0023503,0,-0.00010986,0.018531,0,0,0,0,1,0.04335,0.04335,0.52,0
0.81,0.0016693,0.093198,0,0.92609,-0.70827,0.0041777,-0.0023503,0,-0.00010986,0.018531,0,0,0,0,1,0.0459,0.0459,0.52,0
0.81,0.0015906,0.093219,0,0.92586,-0.70899,0.0041777,-0.0023503,0,-0.00010986,0.018531,0,0,0,0,1,0.04845,0.04845,0.52,0
0.81,0.0015213,0.093238,0,0.92558,-0.71021,0.0052321,-0.0014761,0,-0.00033026,0.018635,0,0,0,0,1,0.051,0.051,0.52,0
0.81,0.0014664,0.093254,0,0.92519,-0.71223,0.0052321,-0.0014761,0,-0.00033026,0.018635,0,0,0,0,1,0.05355,0.05355,0.52,0
0.81,0.0014115,0.09327,0,0.92481,-0.71425,0.0052321,-0.0014761,0,-0.00033026,0.018635,0,0,0,0,1,0.0561,0.0561,0.52,0
0.81,0.0013566,0.093287,0,0.92442,-0.71627,0.0052321,-0.0014761,0,-0.00033026,0.018635,0,0,0,0,1,0.05865,0.05865,0.52,0
0.81,0.0013017,0.093303,0,0.92404,-0.71828,0.0052321,-0.0014761,0,-0.00033026,0.018635,0,0,0,0,1,0.0612,0.0612,0.52,0
0.81,0.0012468,0.093319,0,0.92366,-0.7203,0.0052321,-0.0014761,0,-0.00033026,0.018635,0,0,0,0,1,0.06375,0.06375,0.52,0
0.81,0.0011919,0.093335,0,0.92327,-0.72232,0.0052321,-0.0014761,0,-0.00033026,0.018635,0,0,0,0,1,0.0663,0.0663,0.52,0
0.81,0.001137,0.093351,0,0.92289,-0.72434,0.0052321,-0.0014761,0,-0.00033026,0.018635,0,0,0,0,1,0.06885,0.06885,0.52,0
0.81,0.0010821,0.093367,0,0.9225,-0.72636,0.0052321,-0.0014761,0,-0.00033026,0.018635,0,0,0,0,1,0.0714,0.0714,0.52,0
0.81,0.0010272,0.093383,0,0.92212,-0.72837,0.0052321,-0.0014761,0,-0.00033026,0.018635,0,0,0,0,1,0.07395,0.07395,0.52,0
0.81,0.00098093,0.093397,0,0.92184,-0.7304,0.0059627,-0.0010226,0,-0.00052054,0.018709,0,0,0,0,1,0.0765,0.0765,0.52,0
0.81,0.00094074,0.093408,0,0.92163,-0.73242,0.0059627,-0.0010226,0,-0.00052054,0.018709,0,0,0,0,1,0.07905,0.07905,0.52,0
0.81,0.00090056,0.093419,0,0.92143,-0.73445,0.0059627,-0.0010226,0,-0.00052054,0.018709,0,0,0,0,1,0.0816,0.0816,0.52,0
0.81,0.00086038,0.09343,0,0.92122,-0.73647,0.0059627,-0.0010226,0,-0.00052054,0.018709,0,0,0,0,1,0.08415,0.08415,0.52,0
0.81,0.00082019,0.093441,0,0.92101,-0.7385,0.0059627,-0.0010226,0,-0.00052054,0.018709,0,0,0,0,1,0.0867,0.0867,0.52,0
0.81,0.00078001,0.093452,0,0.9208,-0.74052,0.0059627,-0.0010226,0,-0.00052054,0.018709,0,0,0,0,1,0.08925,0.08925,0.52,0
0.81,0.00073983,0.093463,0,0.9206,-0.74255,0.0059627,-0.0010226,0,-0.00052054,0.018709,0,0,0,0,1,0.0918,0.0918,0.52,0
0.81,0.00069964,0.093474,0,0.92039,-0.74457,0.0059627,-0.0010226,0,-0.00052054,0.018709,0,0,0,0,1,0.09435,0.09435,0.52,0
0.81,0.00065946,0.093485,0,0.92018,-0.7466,0.0059627,-0.0010226,0,-0.00052054,0.018709,0,0,0,0,1,0.0969,0.0969,0.52,0
0.81,0.00061927,0.093496,0,0.91998,-0.74862,0.0059627,-0.0010226,0,-0.00052054,0.018709,0,0,0,0,1,0.09945,0.09945,0.52,0
