"Damage","Displacement:0","Displacement:1","Displacement:2","F33","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.64,0.00081036,0.095744,0,0.97243,-0.11666,0.005527,-0.0011747,0,0.0015604,0.019981,0,0,0,0,1,0.08415,0.08415,0.54,0
0.64,0.0007768,0.095752,0,0.97231,-0.11732,0.005527,-0.0011747,0,0.0015604,0.019981,0,0,0,0,1,0.0867,0.0867,0.54,0
0.64,0.00074324,0.09576,0,0.97218,-0.11798,0.005527,-0.0011747,0,0.0015604,0.019981,0,0,0,0,1,0.08925,0.08925,0.54,0
0.64,0.00070969,0.095769,0,0.97206,-0.11864,0.005527,-0.0011747,0,0.0015604,0.019981,0,0,0,0,1,0.0918,0.0918,0.54,0
0.64,0.00067613,0.095777,0,0.97193,-0.1193,0.005527,-0.0011747,0,0.0015604,0.019981,0,0,0,0,1,0.09435,0.09435,0.54,0
0.64,0.00064258,0.095785,0,0.97181,-0.11995,0.005527,-0.0011747,0,0.0015604,0.019981,0,0,0,0,1,0.0969,0.0969,0.54,0
0.64,0.00060902,0.095793,0,0.97168,-0.12061,0.005527,-0.0011747,0,0.0015604,0.019981,0,0,0,0,1,0.09945,0.09945,0.54,0
0.64,0.00057997,0.095799,0,0.97158,-0.12112,0.0062782,-0.00067193,0,0.0013686,0.020031,0,0,0,0,1,0.102,0.102,0.54,0
0.64,0.00055215,0.095804,0,0.97147,-0.12158,0.0062782,-0.00067193,0,0.0013686,0.020031,0,0,0,0,1,0.10455,0.10455,0.54,0
0.64,0.00052433,0.09581,0,0.97137,-0.12204,0.0062782,-0.00067193,0,0.0013686,0.020031,0,0,0,0,1,0.1071,0.1071,0.54,0
0.64,0.00049651,0.095816,0,0.97127,-0.1225,0.0062782,-0.00067193,0,0.0013686,0.020031,0,0,0,0,1,0.10965,0.10965,0.54,0
0.64,0.00046869,0.095821,0,0.97116,-0.12297,0.0062782,-0.00067193,0,0.0013686,0.020031,0,0,0,0,1,0.1122,0.1122,0.54,0
0.64,0.00044087,0.095827,0,0.97106,-0.12343,0.0034775,-0.0017233,0,0.00049088,0.019263,0,0,0,0,1,0.11475,0.11475,0.54,0
0.64,0.00041305,0.095832,0,0.97096,-0.12389,0.0034775,-0.0017233,0,0.00049088,0.019263,0,0,0,0,1,0.1173,0.1173,0.54,0
0.64,0.00038523,0.095838,0,0.97085,-0.12435,0.0034775,-0.0017233,0,0.00049088,0.019263,0,0,0,0,1,0.11985,0.11985,0.54,0
0.64,0.00035741,0.095844,0,0.97075,-0.12481,0.0034775,-0.0017233,0,0.00049088,0.019263,0,0,0,0,1,0.1224,0.1224,0.54,0
0.64,0.0003296,0.095849,0,0.97065,-0.12528,0.0034775,-0.0017233,0,0.00049088,0.019263,0,0,0,0,1,0.12495,0.12495,0.54,0
0.64,0.00030577,0.095853,0,0.97057,-0.12565,0.0041377,-0.0012041,0,0.00031833,0.019316,0,0,0,0,1,0.1275,0.1275,0.54,0
0.64,0.00028203,0.095858,0,0.9705,-0.12603,0.0041377,-0.0012041,0,0.00031833,0.019316,0,0,0,0,1,0.13005,0.13005,0.54,0
