"Damage","Displacement:0","Displacement:1","Displacement:2","F33","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.64,-0.0018675,0.09704,0,0.9982,-0.0025745,0.0010935,-0.0066153,0,0.00072758,0.015904,0,0,0,0,1,0,0,0.54,0
0.64,-0.0018775,0.097039,0,0.99849,-0.0014968,0.0010935,-0.0066153,0,0.00072758,0.015904,0,0,0,0,1,0.00255,0.00255,0.54,0
0.64,-0.0018875,0.097038,0,0.99878,-0.0004191,0.0010935,-0.0066153,0,0.00072758,0.015904,0,0,0,0,1,0.0051,0.0051,0.54,0
0.64,-0.0018975,0.097037,0,0.99907,0.00065861,0.0010935,-0.0066153,0,0.00072758,0.015904,0,0,0,0,1,0.00765,0.00765,0.54,0
0.64,-0.0019075,0.097036,0,0.99936,0.0017363,0.0010935,-0.0066153,0,0.00072758,0.015904,0,0,0,0,1,0.0102,0.0102,0.54,0
0.64,-0.0019176,0.097035,0,0.99965,0.002814,0.0010935,-0.0066153,0,0.00072758,0.015904,0,0,0,0,1,0.01275,0.01275,0.54,0
0.64,-0.0019276,0.097034,0,0.99994,0.0038917,0.0010935,-0.0066153,0,0.00072758,0.015904,0,0,0,0,1,0.0153,0.0153,0.54,0
0.64,-0.0019376,0.097033,0,1.0002,0.0049694,0.0010935,-0.0066153,0,0.00072758,0.015904,0,0,0,0,1,0.01785,0.01785,0.54,0
0.64,-0.0019476,0.097033,0,1.0005,0.0060472,0.0010935,-0.0066153,0,0.00072758,0.015904,0,0,0,0,1,0.0204,0.0204,0.54,0
0.64,-0.0019576,0.097032,0,1.0008,0.0071249,0.0010935,-0.0066153,0,0.00072758,0.015904,0,0,0,0,1,0.02295,0.02295,0.54,0
0.64,-0.0019676,0.097031,0,1.0011,0.0080217,0.0043494,0.00022473,0,-0.0048185,0.010788,0,0,0,0,1,0.0255,0.0255,0.54,0
0.64,-0.0019774,0.097029,0,1.0011,0.0081771,0.0043494,0.00022473,0,-0.0048185,0.010788,0,0,0,0,1,0.02805,0.02805,0.54,0
0.64,-0.0019872,0.097028,0,1.0011,0.0083325,0.0043494,0.00022473,0,-0.0048185,0.010788,0,0,0,0,1,0.0306,0.0306,0.54,0
0.64,-0.001997,0.097026,0,1.0011,0.0084878,0.0043494,0.00022473,0,-0.0048185,0.010788,0,0,0,0,1,0.03315,0.03315,0.54,0
0.64,-0.0020068,0.097024,0,1.0011,0.0086432,0.0043494,0.00022473,0,-0.0048185,0.010788,0,0,0,0,1,0.0357,0.0357,0.54,0
0.64,-0.0020166,0.097023,0,1.0011,0.0087986,0.0043494,0.00022473,0,-0.0048185,0.010788,0,0,0,0,1,0.03825,0.03825,0.54,0
0.64,-0.0020264,0.097021,0,1.0011,0.0089539,0.0043494,0.00022473,0,-0.0048185,0.010788,0,0,0,0,1,0.0408,0.0408,0.54,0
0.64,-0.0020362,0.09702,0,1.0011,0.0091093,0.0043494,0.00022473,0,-0.0048185,0.010788,0,0,0,0,1,0.04335,0.04335,0.54,0
0.64,-0.002046,0.097018,0,1.0011,0.0092647,0.0043494,0.00022473,0,-0.0048185,0.010788,0,0,0,0,1,0.0459,0.0459,0.54,0
0.64,-0.0020558,0.097017,0,1.0011,0.0094201,0.0043494,0.00022473,0,-0.0048185,0.010788,0,0,0,0,1,0.04845,0.04845,0.54,0
0.64,-0.0020652,0.097016,0,1.0011,0.0094698,0.0052992,0.0013703,0,-0.0044991,0.010587,0,0,0,0,1,0.051,0.051,0.54,0
