"Damage","Displacement:0","Displacement:1","Displacement:2","F33","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.64,-0.0017919,0.096966,0,0.98763,-0.025794,0.00076072,-0.0002407,0,-0.001072,0.017542,0,0,0,0,1,0.0816,0.0816,0.54,0
0.64,-0.0018051,0.096967,0,0.98759,-0.025872,0.00076072,-0.0002407,0,-0.001072,0.017542,0,0,0,0,1,0.08415,0.08415,0.54,0
0.64,-0.0018183,0.096968,0,0.98756,-0.02595,0.00076072,-0.0002407,0,-0.001072,0.017542,0,0,0,0,1,0.0867,0.0867,0.54,0
0.64,-0.0018315,0.096969,0,0.98753,-0.026028,0.00076072,-0.0002407,0,-0.001072,0.017542,0,0,0,0,1,0.08925,0.08925,0.54,0
0.64,-0.0018448,0.09697,0,0.9875,-0.026106,0.00076072,-0.0002407,0,-0.001072,0.017542,0,0,0,0,1,0.0918,0.0918,0.54,0
0.64,-0.001858,0.096971,0,0.98747,-0.026183,0.00076072,-0.0002407,0,-0.001072,0.017542,0,0,0,0,1,0.09435,0.09435,0.54,0
0.64,-0.0018712,0.096972,0,0.98743,-0.026261,0.00076072,-0.0002407,0,-0.001072,0.017542,0,0,0,0,1,0.0969,0.0969,0.54,0
0.64,-0.0018844,0.096973,0,0.9874,-0.026339,0.00076072,-0.0002407,0,-0.001072,0.017542,0,0,0,0,1,0.09945,0.09945,0.54,0
0.64,-0.0018964,0.096974,0,0.98738,-0.026387,0.00128,0.00015129,0,-0.0010974,0.017579,0,0,0,0,1,0.102,0.102,0.54,0
0.64,-0.0019081,0.096975,0,0.98737,-0.026426,0.00128,0.00015129,0,-0.0010974,0.017579,0,0,0,0,1,0.10455,0.10455,0.54,0
0.64,-0.0019198,0.096976,0,0.98735,-0.026465,0.00128,0.00015129,0,-0.0010974,0.017579,0,0,0,0,1,0.1071,0.1071,0.54,0
0.64,-0.0019314,0.096976,0,0.98734,-0.026504,0.00128,0.00015129,0,-0.0010974,0.017579,0,0,0,0,1,0.10965,0.10965,0.54,0
0.64,-0.0019431,0.096977,0,0.98732,-0.026543,0.00128,0.00015129,0,-0.0010974,0.017579,0,0,0,0,1,0.1122,0.1122,0.54,0
0.64,-0.0019548,0.096978,0,0.9873,-0.026583,0.00128,0.00015129,0,-0.0010974,0.017579,0,0,0,0,1,0.11475,0.11475,0.54,0
0.64,-0.0019664,0.096979,0,0.98729,-0.026622,0.00128,0.00015129,0,-0.0010974,0.017579,0,0,0,0,1,0.1173,0.1173,0.54,0
0.64,-0.0019781,0.096979,0,0.98727,-0.026661,0.00128,0.00015129,0,-0.0010974,0.017579,0,0,0,0,1,0.11985,0.11985,0.54,0
0.64,-0.0019898,0.09698,0,0.98726,-0.0267,0.00128,0.00015129,0,-0.0010974,0.017579,0,0,0,0,1,0.1224,0.1224,0.54,0
0.64,-0.0020014,0.096981,0,0.98724,-0.026739,0.00128,0.00015129,0,-0.0010974,0.017579,0,0,0,0,1,0.12495,0.12495,0.54,0
0.64,-0.0020122,0.096981,0,0.98723,-0.026764,0.0016322,0.00030721,0,-0.0011172,0.017567,0,0,0,0,1,0.1275,0.1275,0.54,0
0.64,-0.0020229,0.096982,0,0.98722,-0.026788,0.0016322,0.00030721,0,-0.0011172,0.017567,0,0,0,0,1,0.13005,0.13005,0.54,0
0.64,-0.0020336,0.096982,0,0.98721,-0.026812,0.0016322,0.00030721,0,-0.0011172,0.017567,0,0,0,0,1,0.1326,0.1326,0.54,0
0.64,-0.0020443,0.096983,0,0.9872,-0.026836,0.0016322,0.00030721,0,-0.0011172,0.017567,0,0,0,0,1,0.13515,0.13515,0.54,0
0.64,-0.002055,0.096983,0,0.98719,-0.02686,0.0016322,0.00030721,0,-0.0011172,0.017567,0,0,0,0,1,0.1377,0.1377,0.54,0
0.64,-0.0020657,0.096984,0,0.98718,-0.026884,0.0016322,0.00030721,0,-0.0011172,0.017567,0,0,0,0,1,0.14025,0.14025,0.54,0
0.64,-0.0020764,0.096984,0,0.98717,-0.026908,0.0016322,0.00030721,0,-0.0011172,0.017567,0,0,0,0,1,0.1428,0.1428,0.54,0
0.64,-0.0020871,0.096985,0,0.98717,-0.026931,0.0016322,0.00030721,0,-0.0011172,0.017567,0,0,0,0,1,0.14535,0.14535,0.54,0
0.64,-0.0020978,0.096985,0,0.98716,-0.026955,0.0016322,0.00030721,0,-0.0011172,0.017567,0,0,0,0,1,0.1479,0.1479,0.54,0
0.64,-0.0021084,0.096985,0,0.98715,-0.026978,0.0018783,0.0003655,0,-0.0011409,0.01754,0,0,0,0,1,0.15045,0.15045,0.54,0
0.64,-0.0021185,0.096986,0,0.98714,-0.026992,0.0018783,0.0003655,0,-0.0011409,0.01754,0,0,0,0,1,0.153,0.153,0.54,0
0.64,-0.0021286,0.096986,0,0.98714,-0.027005,0.0018783,0.0003655,0,-0.0011409,0.01754,0,0,0,0,1,0.15555,0.15555,0.54,0
0.64,-0.0021387,0.096987,0,0.98713,-0.027019,0.0018783,0.0003655,0,-0.0011409,0.01754,0,0,0,0,1,0.1581,0.1581,0.54,0
0.64,-0.0021488,0.096987,0,0.98713,-0.027033,0.0018783,0.0003655,0,-0.0011409,0.01754,0,0,0,0,1,0.16065,0.16065,0.54,0
0.64,-0.0021589,0.096987,0,0.98712,-0.027047,0.0018783,0.0003655,0,-0.0011409,0.01754,0,0,0,0,1,0.1632,0.1632,0.54,0
0.64,-0.002169,0.096988,0,0.98712,-0.027061,0.0018783,0.0003655,0,-0.0011409,0.01754,0,0,0,0,1,0.16575,0.16575,0.54,0
0.64,-0.0021792,0.096988,0,0.98711,-0.027075,0.0018783,0.0003655,0,-0.0011409,0.01754,0,0,0,0,1,0.1683,0.1683,0.54,0
0.64,-0.0021893,0.096988,0,0.98711,-0.027089,0.0018783,0.0003655,0,-0.0011409,0.01754,0,0,0,0,1,0.17085,0.17085,0.54,0
0.64,-0.0021994,0.096989,0,0.9871,-0.027103,0.0018783,0.0003655,0,-0.0011409,0.01754,0,0,0,0,1,0.1734,0.1734,0.54,0
0.64,-0.0022093,0.096989,0,0.9871,-0.027115,0.0020597,0.00037531,0,-0.0011656,0.01751,0,0,0,0,1,0.17595,0.17595,0.54,0
0.64,-0.002219,0.096989,0,0.98709,-0.027123,0.0020597,0.00037531,0,-0.0011656,0.01751,0,0,0,0,1,0.1785,0.1785,0.54,0
0.64,-0.0022287,0.096989,0,0.98709,-0.027132,0.0020597,0.00037531,0,-0.0011656,0.01751,0,0,0,0,1,0.18105,0.18105,0.54,0
0.64,-0.0022384,0.096989,0,0.98709,-0.027141,0.0020597,0.00037531,0,-0.0011656,0.01751,0,0,0,0,1,0.1836,0.1836,0.54,0
0.64,-0.0022481,0.09699,0,0.98708,-0.02715,0.0020597,0.00037531,0,-0.0011656,0.01751,0,0,0,0,1,0.18615,0.18615,0.54,0
0.64,-0.0022578,0.09699,0,0.98708,-0.027159,0.0020597,0.00037531,0,-0.0011656,0.01751,0,0,0,0,1,0.1887,0.1887,0.54,0
0.64,-0.0022674,0.09699,0,0.98708,-0.027168,0.0020597,0.00037531,0,-0.0011656,0.01751,0,0,0,0,1,0.19125,0.19125,0.54,0
0.64,-0.0022771,0.09699,0,0.98707,-0.027177,0.0020597,0.00037531,0,-0.0011656,0.01751,0,0,0,0,1,0.1938,0.1938,0.54,0
0.64,-0.0022868,0.096991,0,0.98707,-0.027185,0.0020597,0.00037531,0,-0.0011656,0.01751,0,0,0,0,1,0.19635,0.19635,0.54,0
0.64,-0.0022965,0.096991,0,0.98707,-0.027194,0.0020597,0.00037531,0,-0.0011656,0.01751,0,0,0,0,1,0.1989,0.1989,0.54,0
0.64,-0.002306,0.096991,0,0.98707,-0.027201,0.0021975,0.00035763,0,-0.0011919,0.017482,0,0,0,0,1,0.20145,0.20145,0.54,0
0.64,-0.0023154,0.096991,0,0.98706,-0.027207,0.0021975,0.00035763,0,-0.0011919,0.017482,0,0,0,0,1,0.204,0.204,0.54,0
0.64,-0.0023247,0.096991,0,0.98706,-0.027213,0.0021975,0.00035763,0,-0.0011919,0.017482,0,0,0,0,1,0.20655,0.20655,0.54,0
0.64,-0.0023341,0.096991,0,0.98706,-0.027219,0.0021975,0.00035763,0,-0.0011919,0.017482,0,0,0,0,1,0.2091,0.2091,0.54,0
0.64,-0.0023435,0.096991,0,0.98706,-0.027225,0.0021975,0.00035763,0,-0.0011919,0.017482,0,0,0,0,1,0.21165,0.21165,0.54,0
0.64,-0.0023529,0.096992,0,0.98705,-0.027231,0.0021975,0.00035763,0,-0.0011919,0.017482,0,0,0,0,1,0.2142,0.2142,0.54,0
0.64,-0.0023622,0.096992,0,0.98705,-0.027237,0.0021975,0.00035763,0,-0.0011919,0.017482,0,0,0,0,1,0.21675,0.21675,0.54,0
0.64,-0.0023716,0.096992,0,0.98705,-0.027243,0.0021975,0.00035763,0,-0.0011919,0.017482,0,0,0,0,1,0.2193,0.2193,0.54,0
0.64,-0.002381,0.096992,0,0.98705,-0.027249,0.0021975,0.00035763,0,-0.0011919,0.017482,0,0,0,0,1,0.22185,0.22185,0.54,0
0.64,-0.0023903,0.096992,0,0.98705,-0.027255,0.0021975,0.00035763,0,-0.0011919,0.017482,0,0,0,0,1,0.2244,0.2244,0.54,0
0.64,-0.0023995,0.096992,0,0.98704,-0.02726,0.0023047,0.00032264,0,-0.0012191,0.01746,0,0,0,0,1,0.22695,0.22695,0.54,0
0.64,-0.0024087,0.096992,0,0.98704,-0.027265,0.0023047,0.00032264,0,-0.0012191,0.01746,0,0,0,0,1,0.2295,0.2295,0.54,0
0.64,-0.0024178,0.096992,0,0.98704,-0.027269,0.0023047,0.00032264,0,-0.0012191,0.01746,0,0,0,0,1,0.23205,0.23205,0.54,0
0.64,-0.0024269,0.096992,0,0.98704,-0.027274,0.0023047,0.00032264,0,-0.0012191,0.01746,0,0,0,0,1,0.2346,0.2346,0.54,0
0.64,-0.002436,0.096992,0,0.98704,-0.027278,0.0023047,0.00032264,0,-0.0012191,0.01746,0,0,0,0,1,0.23715,0.23715,0.54,0
0.64,-0.0024452,0.096992,0,0.98704,-0.027282,0.0023047,0.00032264,0,-0.0012191,0.01746,0,0,0,0,1,0.2397,0.2397,0.54,0
0.64,-0.0024543,0.096992,0,0.98703,-0.027287,0.0023047,0.00032264,0,-0.0012191,0.01746,0,0,0,0,1,0.24225,0.24225,0.54,0
0.64,-0.0024634,0.096992,0,0.98703,-0.027291,0.0023047,0.00032264,0,-0.0012191,0.01746,0,0,0,0,1,0.2448,0.2448,0.54,0
0.64,-0.0024726,0.096992,0,0.98703,-0.027296,0.0023047,0.00032264,0,-0.0012191,0.01746,0,0,0,0,1,0.24735,0.24735,0.54,0
0.64,-0.0024817,0.096992,0,0.98703,-0.0273,0.0023047,0.00032264,0,-0.0012191,0.01746,0,0,0,0,1,0.2499,0.2499,0.54,0
