"Damage","Displacement:0","Displacement:1","Displacement:2","F33","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.64,-0.0016806,0.097043,0,0.99568,-0.00872,0.0020212,0.0014744,0,-0.00086257,0.019602,0,0,0,0,1,0.0816,0.0816,0.54,0
0.64,-0.001688,0.097042,0,0.99567,-0.0087285,0.0020212,0.0014744,0,-0.00086257,0.019602,0,0,0,0,1,0.08415,0.08415,0.54,0
0.64,-0.0016954,0.097041,0,0.99567,-0.0087371,0.0020212,0.0014744,0,-0.00086257,0.019602,0,0,0,0,1,0.0867,0.0867,0.54,0
0.64,-0.0017028,0.09704,0,0.99567,-0.0087456,0.0020212,0.0014744,0,-0.00086257,0.019602,0,0,0,0,1,0.08925,0.08925,0.54,0
0.64,-0.0017102,0.097038,0,0.99566,-0.0087541,0.0020212,0.0014744,0,-0.00086257,0.019602,0,0,0,0,1,0.0918,0.0918,0.54,0
0.64,-0.0017176,0.097037,0,0.99566,-0.0087626,0.0020212,0.0014744,0,-0.00086257,0.019602,0,0,0,0,1,0.09435,0.09435,0.54,0
0.64,-0.001725,0.097036,0,0.99565,-0.0087711,0.0020212,0.0014744,0,-0.00086257,0.019602,0,0,0,0,1,0.0969,0.0969,0.54,0
0.64,-0.0017323,0.097035,0,0.99565,-0.0087797,0.0020212,0.0014744,0,-0.00086257,0.019602,0,0,0,0,1,0.09945,0.09945,0.54,0
0.64,-0.0017398,0.097034,0,0.99565,-0.0087711,0.0019987,0.0011326,0,-0.00059019,0.019554,0,0,0,0,1,0.102,0.102,0.54,0
0.64,-0.0017472,0.097034,0,0.99566,-0.0087579,0.0019987,0.0011326,0,-0.00059019,0.019554,0,0,0,0,1,0.10455,0.10455,0.54,0
0.64,-0.0017547,0.097033,0,0.99567,-0.0087446,0.0019987,0.0011326,0,-0.00059019,0.019554,0,0,0,0,1,0.1071,0.1071,0.54,0
0.64,-0.0017621,0.097032,0,0.99567,-0.0087314,0.0019987,0.0011326,0,-0.00059019,0.019554,0,0,0,0,1,0.10965,0.10965,0.54,0
0.64,-0.0017696,0.097031,0,0.99568,-0.0087181,0.0019987,0.0011326,0,-0.00059019,0.019554,0,0,0,0,1,0.1122,0.1122,0.54,0
0.64,-0.001777,0.097031,0,0.99569,-0.0087048,0.0019987,0.0011326,0,-0.00059019,0.019554,0,0,0,0,1,0.11475,0.11475,0.54,0
0.64,-0.0017845,0.09703,0,0.99569,-0.0086916,0.0019987,0.0011326,0,-0.00059019,0.019554,0,0,0,0,1,0.1173,0.1173,0.54,0
0.64,-0.0017919,0.097029,0,0.9957,-0.0086783,0.0019987,0.0011326,0,-0.00059019,0.019554,0,0,0,0,1,0.11985,0.11985,0.54,0
0.64,-0.0017994,0.097028,0,0.99571,-0.0086651,0.0019987,0.0011326,0,-0.00059019,0.019554,0,0,0,0,1,0.1224,0.1224,0.54,0
0.64,-0.0018068,0.097028,0,0.99571,-0.0086518,0.0019987,0.0011326,0,-0.00059019,0.019554,0,0,0,0,1,0.12495,0.12495,0.54,0
0.64,-0.0018143,0.097027,0,0.99572,-0.0086442,0.0019245,0.00087879,0,-0.0004321,0.019497,0,0,0,0,1,0.1275,0.1275,0.54,0
0.64,-0.0018218,0.097027,0,0.99572,-0.0086367,0.0019245,0.00087879,0,-0.0004321,0.019497,0,0,0,0,1,0.13005,0.13005,0.54,0
0.64,-0.0018293,0.097026,0,0.99572,-0.0086291,0.0019245,0.00087879,0,-0.0004321,0.019497,0,0,0,0,1,0.1326,0.1326,0.54,0
0.64,-0.0018367,0.097026,0,0.99573,-0.0086216,0.0019245,0.00087879,0,-0.0004321,0.019497,0,0,0,0,1,0.13515,0.13515,0.54,0
0.64,-0.0018442,0.097025,0,0.99573,-0.0086141,0.0019245,0.00087879,0,-0.0004321,0.019497,0,0,0,0,1,0.1377,0.1377,0.54,0
0.64,-0.0018517,0.097024,0,0.99574,-0.0086066,0.0019245,0.00087879,0,-0.0004321,0.019497,0,0,0,0,1,0.14025,0.14025,0.54,0
0.64,-0.0018592,0.097024,0,0.99574,-0.008599,0.0019245,0.00087879,0,-0.0004321,0.019497,0,0,0,0,1,0.1428,0.1428,0.54,0
0.64,-0.0018666,0.097023,0,0.99574,-0.0085915,0.0019245,0.00087879,0,-0.0004321,0.019497,0,0,0,0,1,0.14535,0.14535,0.54,0
0.64,-0.0018741,0.097023,0,0.99575,-0.008584,0.0019245,0.00087879,0,-0.0004321,0.019497,0,0,0,0,1,0.1479,0.1479,0.54,0
0.64,-0.0018816,0.097022,0,0.99575,-0.0085761,0.0018459,0.00069209,0,-0.00032849,0.019453,0,0,0,0,1,0.15045,0.15045,0.54,0
0.64,-0.0018891,0.097022,0,0.99576,-0.0085668,0.0018459,0.00069209,0,-0.00032849,0.019453,0,0,0,0,1,0.153,0.153,0.54,0
0.64,-0.0018967,0.097022,0,0.99576,-0.0085575,0.0018459,0.00069209,0,-0.00032849,0.019453,0,0,0,0,1,0.15555,0.15555,0.54,0
