"Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.034867,0.10081,0,0.99998,1,-3.5446e-05,3.4545e-05,-1.8426e-05,0,-1.8437e-05,-8.6192e-06,0,0,0,0,1,0.075,-2.425,0,0
0.034867,0.10081,0,0.99998,1,-3.6622e-05,7.781e-05,-1.0111e-05,0,-1.014e-05,-3.5114e-06,0,0,0,0,1,0.0775,-2.4225,0,0
0.034867,0.1008,0,0.99998,1,-3.7798e-05,7.781e-05,-1.0111e-05,0,-1.014e-05,-3.5114e-06,0,0,0,0,1,0.08,-2.42,0,0
0.034867,0.1008,0,0.99998,1,-3.8975e-05,7.781e-05,-1.0111e-05,0,-1.014e-05,-3.5114e-06,0,0,0,0,1,0.0825,-2.4175,0,0
0.034867,0.1008,0,0.99998,1,-4.0152e-05,7.781e-05,-1.0111e-05,0,-1.014e-05,-3.5114e-06,0,0,0,0,1,0.085,-2.415,0,0
0.034867,0.1008,0,0.99998,1,-4.1328e-05,7.781e-05,-1.0111e-05,0,-1.014e-05,-3.5114e-06,0,0,0,0,1,0.0875,-2.4125,0,0
0.034867,0.1008,0,0.99998,1,-4.2504e-05,7.781e-05,-1.0111e-05,0,-1.014e-05,-3.5114e-06,0,0,0,0,1,0.09,-2.41,0,0
0.034867,0.1008,0,0.99998,1,-4.3681e-05,7.781e-05,-1.0111e-05,0,-1.014e-05,-3.5114e-06,0,0,0,0,1,0.0925,-2.4075,0,0
0.034868,0.1008,0,0.99998,1,-4.4858e-05,7.781e-05,-1.0111e-05,0,-1.014e-05,-3.5114e-06,0,0,0,0,1,0.095,-2.405,0,0
0.034868,0.1008,0,0.99998,1,-4.6034e-05,7.781e-05,-1.0111e-05,0,-1.014e-05,-3.5114e-06,0,0,0,0,1,0.0975,-2.4025,0,0
0.034868,0.1008,0,0.99998,1,-4.721e-05,3.1556e-05,-2.0378e-06,0,-2.0451e-06,-1.2048e-05,0,0,0,0,1,0.1,-2.4,0,0
0.034868,0.1008,0,0.99998,1,-4.7749e-05,8.5403e-05,-3.8753e-07,0,-4.1549e-07,-4.4924e-06,0,0,0,0,1,0.1025,-2.3975,0,0
0.034868,0.1008,0,0.99998,1,-4.8288e-05,8.5403e-05,-3.8753e-07,0,-4.1549e-07,-4.4924e-06,0,0,0,0,1,0.105,-2.395,0,0
0.034868,0.10079,0,0.99998,1,-4.8827e-05,8.5403e-05,-3.8753e-07,0,-4.1549e-07,-4.4924e-06,0,0,0,0,1,0.1075,-2.3925,0,0
0.034868,0.10079,0,0.99998,1,-4.9366e-05,8.5403e-05,-3.8753e-07,0,-4.1549e-07,-4.4924e-06,0,0,0,0,1,0.11,-2.39,0,0
0.034868,0.10079,0,0.99998,1,-4.9905e-05,8.5403e-05,-3.8753e-07,0,-4.1549e-07,-4.4924e-06,0,0,0,0,1,0.1125,-2.3875,0,0
0.034869,0.10079,0,0.99997,1,-5.0443e-05,8.5403e-05,-3.8753e-07,0,-4.1549e-07,-4.4924e-06,0,0,0,0,1,0.115,-2.385,0,0
0.034869,0.10079,0,0.99997,1,-5.0982e-05,8.5403e-05,-3.8753e-07,0,-4.1549e-07,-4.4924e-06,0,0,0,0,1,0.1175,-2.3825,0,0
0.034869,0.10079,0,0.99997,1,-5.1521e-05,8.5403e-05,-3.8753e-07,0,-4.1549e-07,-4.4924e-06,0,0,0,0,1,0.12,-2.38,0,0
0.034869,0.10079,0,0.99997,1,-5.206e-05,8.5403e-05,-3.8753e-07,0,-4.1549e-07,-4.4924e-06,0,0,0,0,1,0.1225,-2.3775,0,0
0.034869,0.10079,0,0.99997,1,-5.2599e-05,1.3172e-05,1.8643e-05,0,1.8643e-05,-1.392e-05,0,0,0,0,1,0.125,-2.375,0,0
