"Damage","Displacement:0","Displacement:1","Displacement:2","F33","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.81,8.479e-05,0.094642,0,0.9363,-0.56534,0.0013413,-0.0081664,0,0.0027286,0.017346,0,0,0,0,1,0,0,0.52,0
0.81,-3.2315e-05,0.094622,0,0.93398,-0.58783,0.0028059,-0.0033184,0,-0.00030231,0.017999,0,0,0,0,1,0.00255,0.00255,0.52,0
0.81,-0.00014942,0.094601,0,0.93165,-0.61032,0.0028059,-0.0033184,0,-0.00030231,0.017999,0,0,0,0,1,0.0051,0.0051,0.52,0
0.81,-0.00026652,0.094581,0,0.92933,-0.6328,0.0028059,-0.0033184,0,-0.00030231,0.017999,0,0,0,0,1,0.00765,0.00765,0.52,0
0.81,-0.00038363,0.09456,0,0.92701,-0.65529,0.0028059,-0.0033184,0,-0.00030231,0.017999,0,0,0,0,1,0.0102,0.0102,0.52,0
0.81,-0.00050073,0.09454,0,0.92468,-0.67778,0.0028059,-0.0033184,0,-0.00030231,0.017999,0,0,0,0,1,0.01275,0.01275,0.52,0
0.81,-0.00061784,0.094519,0,0.92236,-0.70027,0.0028059,-0.0033184,0,-0.00030231,0.017999,0,0,0,0,1,0.0153,0.0153,0.52,0
0.81,-0.00073494,0.094499,0,0.92004,-0.72276,0.0028059,-0.0033184,0,-0.00030231,0.017999,0,0,0,0,1,0.01785,0.01785,0.52,0
0.81,-0.00085205,0.094478,0,0.91772,-0.74525,0.0028059,-0.0033184,0,-0.00030231,0.017999,0,0,0,0,1,0.0204,0.0204,0.52,0
0.81,-0.00096915,0.094457,0,0.91539,-0.76774,0.0028059,-0.0033184,0,-0.00030231,0.017999,0,0,0,0,1,0.02295,0.02295,0.52,0
0.81,-0.0010737,0.094442,0,0.91348,-0.78641,0.0056212,-0.0013743,0,-0.0002486,0.018705,0,0,0,0,1,0.0255,0.0255,0.52,0
0.81,-0.0011269,0.094448,0,0.91326,-0.78942,0.0056212,-0.0013743,0,-0.0002486,0.018705,0,0,0,0,1,0.02805,0.02805,0.52,0
0.81,-0.0011801,0.094453,0,0.91303,-0.79243,0.0056212,-0.0013743,0,-0.0002486,0.018705,0,0,0,0,1,0.0306,0.0306,0.52,0
0.81,-0.0012333,0.094459,0,0.91281,-0.79544,0.0056212,-0.0013743,0,-0.0002486,0.018705,0,0,0,0,1,0.03315,0.03315,0.52,0
0.81,-0.0012866,0.094464,0,0.91258,-0.79845,0.0056212,-0.0013743,0,-0.0002486,0.018705,0,0,0,0,1,0.0357,0.0357,0.52,0
