"Damage","Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.14061,0.018524,0.099582,0,0.99943,1,-0.0013317,-2.0316e-07,1.1493e-07,0,2.0056e-06,0.0024935,0,0,0,0,1,0,-2.5,0.5,0
0.14061,0.018521,0.099586,0,0.99944,1,-0.0013132,-2.0316e-07,1.1493e-07,0,2.0056e-06,0.0024935,0,0,0,0,1,0.0050001,-2.495,0.5,0
0.14061,0.018518,0.09959,0,0.99944,1,-0.0012948,-2.0316e-07,1.1493e-07,0,2.0056e-06,0.0024935,0,0,0,0,1,0.01,-2.49,0.5,0
0.14061,0.018515,0.099593,0,0.99945,1,-0.0012764,-2.0316e-07,1.1493e-07,0,2.0056e-06,0.0024935,0,0,0,0,1,0.015,-2.485,0.5,0
0.14061,0.018513,0.099597,0,0.99946,1,-0.0012579,-2.1018e-06,2.6105e-06,0,4.3385e-06,0.0023556,0,0,0,0,1,0.02,-2.48,0.5,0
0.14061,0.01851,0.0996,0,0.99947,1,-0.0012407,-2.1018e-06,2.6105e-06,0,4.3385e-06,0.0023556,0,0,0,0,1,0.025,-2.475,0.5,0
0.14061,0.018507,0.099604,0,0.99947,1,-0.0012234,-2.1018e-06,2.6105e-06,0,4.3385e-06,0.0023556,0,0,0,0,1,0.03,-2.47,0.5,0
0.14061,0.018505,0.099608,0,0.99948,1,-0.0012062,-2.1018e-06,2.6105e-06,0,4.3385e-06,0.0023556,0,0,0,0,1,0.035,-2.465,0.5,0
0.14061,0.018502,0.099611,0,0.99949,1,-0.0011889,-6.3804e-06,-2.5988e-07,0,1.3163e-06,0.0022296,0,0,0,0,1,0.04,-2.46,0.5,0
0.14061,0.018499,0.099615,0,0.9995,1,-0.0011729,-6.3804e-06,-2.5988e-07,0,1.3163e-06,0.0022296,0,0,0,0,1,0.045,-2.455,0.5,0
0.14061,0.018497,0.099618,0,0.9995,1,-0.0011568,-6.3804e-06,-2.5988e-07,0,1.3163e-06,0.0022296,0,0,0,0,1,0.05,-2.45,0.5,0
0.14061,0.018494,0.099621,0,0.99951,1,-0.0011408,-6.3804e-06,-2.5988e-07,0,1.3163e-06,0.0022296,0,0,0,0,1,0.055,-2.445,0.5,0
0.14061,0.018492,0.099625,0,0.99952,1,-0.0011247,-1.3082e-05,-7.1192e-06,0,-5.6837e-06,0.0021156,0,0,0,0,1,0.06,-2.44,0.5,0
0.14061,0.01849,0.099628,0,0.99952,1,-0.0011099,-1.3082e-05,-7.1192e-06,0,-5.6837e-06,0.0021156,0,0,0,0,1,0.065,-2.435,0.5,0
0.14061,0.018487,0.099631,0,0.99953,1,-0.0010951,-1.3082e-05,-7.1192e-06,0,-5.6837e-06,0.0021156,0,0,0,0,1,0.07,-2.43,0.5,0
0.14061,0.018485,0.099635,0,0.99954,1,-0.0010803,-1.3082e-05,-7.1192e-06,0,-5.6837e-06,0.0021156,0,0,0,0,1,0.075,-2.425,0.5,0
0.14061,0.018482,0.099638,0,0.99954,1,-0.0010654,-2.2137e-05,-1.6685e-05,0,-1.5379e-05,0.0020137,0,0,0,0,1,0.08,-2.42,0.5,0
0.14061,0.01848,0.099641,0,0.99955,1,-0.0010518,-2.2137e-05,-1.6685e-05,0,-1.5379e-05,0.0020137,0,0,0,0,1,0.085,-2.415,0.5,0
0.14061,0.018478,0.099644,0,0.99955,1,-0.0010382,-2.2137e-05,-1.6685e-05,0,-1.5379e-05,0.0020137,0,0,0,0,1,0.09,-2.41,0.5,0
0.14061,0.018475,0.099647,0,0.99956,1,-0.0010246,-2.2137e-05,-1.6685e-05,0,-1.5379e-05,0.0020137,0,0,0,0,1,0.095,-2.405,0.5,0
0.14061,0.018473,0.099651,0,0.99957,1,-0.001011,-3.3358e-05,-2.7789e-05,0,-2.6601e-05,0.0019234,0,0,0,0,1,0.1,-2.4,0.5,0
0.14061,0.018471,0.099653,0,0.99957,1,-0.00099858,-3.3358e-05,-2.7789e-05,0,-2.6601e-05,0.0019234,0,0,0,0,1,0.105,-2.395,0.5,0
0.14061,0.018469,0.099656,0,0.99958,1,-0.00098615,-3.3358e-05,-2.7789e-05,0,-2.6601e-05,0.0019234,0,0,0,0,1,0.11,-2.39,0.5,0
0.14061,0.018466,0.099659,0,0.99958,1,-0.00097372,-3.3358e-05,-2.7789e-05,0,-2.6601e-05,0.0019234,0,0,0,0,1,0.115,-2.385,0.5,0
0.14061,0.018464,0.099662,0,0.99959,1,-0.00096129,-4.6472e-05,-3.9405e-05,0,-3.8323e-05,0.0018443,0,0,0,0,1,0.12,-2.38,0.5,0
0.14061,0.018462,0.099665,0,0.99959,1,-0.00095,-4.6472e-05,-3.9405e-05,0,-3.8323e-05,0.0018443,0,0,0,0,1,0.125,-2.375,0.5,0
0.14061,0.01846,0.099668,0,0.9996,1,-0.0009387,-4.6472e-05,-3.9405e-05,0,-3.8323e-05,0.0018443,0,0,0,0,1,0.13,-2.37,0.5,0
0.14061,0.018458,0.099671,0,0.9996,1,-0.0009274,-4.6472e-05,-3.9405e-05,0,-3.8323e-05,0.0018443,0,0,0,0,1,0.135,-2.365,0.5,0
0.14061,0.018455,0.099674,0,0.99961,1,-0.0009161,-6.1149e-05,-5.0665e-05,0,-4.968e-05,0.0017754,0,0,0,0,1,0.14,-2.36,0.5,0
0.14061,0.018453,0.099676,0,0.99961,1,-0.00090588,-6.1149e-05,-5.0665e-05,0,-4.968e-05,0.0017754,0,0,0,0,1,0.145,-2.355,0.5,0
0.1406,0.018451,0.099679,0,0.99961,1,-0.00089565,-6.1149e-05,-5.0665e-05,0,-4.968e-05,0.0017754,0,0,0,0,1,0.15,-2.35,0.5,0
0.1406,0.018449,0.099681,0,0.99962,1,-0.00088542,-6.1149e-05,-5.0665e-05,0,-4.968e-05,0.0017754,0,0,0,0,1,0.155,-2.345,0.5,0
0.1406,0.018447,0.099684,0,0.99962,1,-0.00087519,-7.7038e-05,-6.0863e-05,0,-5.9964e-05,0.001716,0,0,0,0,1,0.16,-2.34,0.5,0
0.1406,0.018445,0.099687,0,0.99963,1,-0.00086597,-7.7038e-05,-6.0863e-05,0,-5.9964e-05,0.001716,0,0,0,0,1,0.165,-2.335,0.5,0
0.1406,0.018443,0.099689,0,0.99963,1,-0.00085674,-7.7038e-05,-6.0863e-05,0,-5.9964e-05,0.001716,0,0,0,0,1,0.17,-2.33,0.5,0
0.1406,0.018441,0.099691,0,0.99964,1,-0.00084751,-7.7038e-05,-6.0863e-05,0,-5.9964e-05,0.001716,0,0,0,0,1,0.175,-2.325,0.5,0
0.1406,0.018438,0.099694,0,0.99964,1,-0.00083828,-9.3792e-05,-6.9449e-05,0,-6.8628e-05,0.0016651,0,0,0,0,1,0.18,-2.32,0.5,0
0.1406,0.018436,0.099696,0,0.99964,1,-0.00082997,-9.3792e-05,-6.9449e-05,0,-6.8628e-05,0.0016651,0,0,0,0,1,0.185,-2.315,0.5,0
0.1406,0.018434,0.099699,0,0.99965,1,-0.00082166,-9.3792e-05,-6.9449e-05,0,-6.8628e-05,0.0016651,0,0,0,0,1,0.19,-2.31,0.5,0
0.1406,0.018432,0.099701,0,0.99965,1,-0.00081335,-9.3792e-05,-6.9449e-05,0,-6.8628e-05,0.0016651,0,0,0,0,1,0.195,-2.305,0.5,0
0.1406,0.01843,0.099703,0,0.99965,1,-0.00080504,-0.00011109,-7.6016e-05,0,-7.5264e-05,0.0016217,0,0,0,0,1,0.2,-2.3,0.5,0
0.1406,0.018428,0.099705,0,0.99966,1,-0.00079757,-0.00011109,-7.6016e-05,0,-7.5264e-05,0.0016217,0,0,0,0,1,0.205,-2.295,0.5,0
0.1406,0.018426,0.099708,0,0.99966,1,-0.0007901,-0.00011109,-7.6016e-05,0,-7.5264e-05,0.0016217,0,0,0,0,1,0.21,-2.29,0.5,0
0.1406,0.018424,0.09971,0,0.99966,1,-0.00078263,-0.00011109,-7.6016e-05,0,-7.5264e-05,0.0016217,0,0,0,0,1,0.215,-2.285,0.5,0
0.1406,0.018422,0.099712,0,0.99967,1,-0.00077516,-0.00012864,-8.028e-05,0,-7.959e-05,0.0015849,0,0,0,0,1,0.22,-2.28,0.5,0
0.1406,0.01842,0.099714,0,0.99967,1,-0.00076844,-0.00012864,-8.028e-05,0,-7.959e-05,0.0015849,0,0,0,0,1,0.225,-2.275,0.5,0
0.1406,0.018418,0.099716,0,0.99967,1,-0.00076173,-0.00012864,-8.028e-05,0,-7.959e-05,0.0015849,0,0,0,0,1,0.23,-2.27,0.5,0
0.1406,0.018416,0.099718,0,0.99968,1,-0.00075501,-0.00012864,-8.028e-05,0,-7.959e-05,0.0015849,0,0,0,0,1,0.235,-2.265,0.5,0
0.1406,0.018413,0.09972,0,0.99968,1,-0.00074829,-0.00014621,-8.2063e-05,0,-8.1429e-05,0.0015538,0,0,0,0,1,0.24,-2.26,0.5,0
0.1406,0.018411,0.099722,0,0.99968,1,-0.00074225,-0.00014621,-8.2063e-05,0,-8.1429e-05,0.0015538,0,0,0,0,1,0.245,-2.255,0.5,0
0.1406,0.018409,0.099724,0,0.99968,1,-0.0007362,-0.00014621,-8.2063e-05,0,-8.1429e-05,0.0015538,0,0,0,0,1,0.25,-2.25,0.5,0
0.1406,0.018407,0.099726,0,0.99969,1,-0.00073016,-0.00014621,-8.2063e-05,0,-8.1429e-05,0.0015538,0,0,0,0,1,0.255,-2.245,0.5,0
0.1406,0.018405,0.099728,0,0.99969,1,-0.00072411,-0.00016361,-8.1272e-05,0,-8.0688e-05,0.0015274,0,0,0,0,1,0.26,-2.24,0.5,0
0.1406,0.018403,0.09973,0,0.99969,1,-0.00071866,-0.00016361,-8.1272e-05,0,-8.0688e-05,0.0015274,0,0,0,0,1,0.265,-2.235,0.5,0
0.1406,0.018401,0.099732,0,0.99969,1,-0.0007132,-0.00016361,-8.1272e-05,0,-8.0688e-05,0.0015274,0,0,0,0,1,0.27,-2.23,0.5,0
0.1406,0.018399,0.099733,0,0.9997,1,-0.00070774,-0.00016361,-8.1272e-05,0,-8.0688e-05,0.0015274,0,0,0,0,1,0.275,-2.225,0.5,0
0.1406,0.018397,0.099735,0,0.9997,1,-0.00070229,-0.00018069,-7.7879e-05,0,-7.7339e-05,0.0015051,0,0,0,0,1,0.28,-2.22,0.5,0
0.1406,0.018395,0.099737,0,0.9997,1,-0.00069734,-0.00018069,-7.7879e-05,0,-7.7339e-05,0.0015051,0,0,0,0,1,0.285,-2.215,0.5,0
0.1406,0.018393,0.099739,0,0.9997,1,-0.0006924,-0.00018069,-7.7879e-05,0,-7.7339e-05,0.0015051,0,0,0,0,1,0.29,-2.21,0.5,0
0.1406,0.01839,0.099741,0,0.9997,1,-0.00068745,-0.00018069,-7.7879e-05,0,-7.7339e-05,0.0015051,0,0,0,0,1,0.295,-2.205,0.5,0
0.14059,0.018388,0.099742,0,0.99971,1,-0.00068251,-0.00019738,-7.1903e-05,0,-7.1404e-05,0.0014862,0,0,0,0,1,0.3,-2.2,0.5,0
0.14059,0.018386,0.099744,0,0.99971,1,-0.000678,-0.00019738,-7.1903e-05,0,-7.1404e-05,0.0014862,0,0,0,0,1,0.305,-2.195,0.5,0
0.14059,0.018384,0.099746,0,0.99971,1,-0.00067349,-0.00019738,-7.1903e-05,0,-7.1404e-05,0.0014862,0,0,0,0,1,0.31,-2.19,0.5,0
0.14059,0.018382,0.099747,0,0.99971,1,-0.00066899,-0.00019738,-7.1903e-05,0,-7.1404e-05,0.0014862,0,0,0,0,1,0.315,-2.185,0.5,0
0.14059,0.01838,0.099749,0,0.99971,1,-0.00066448,-0.00021363,-6.3399e-05,0,-6.2936e-05,0.0014699,0,0,0,0,1,0.32,-2.18,0.5,0
0.14059,0.018378,0.099751,0,0.99972,1,-0.00066033,-0.00021363,-6.3399e-05,0,-6.2936e-05,0.0014699,0,0,0,0,1,0.325,-2.175,0.5,0
0.14059,0.018376,0.099752,0,0.99972,1,-0.00065619,-0.00021363,-6.3399e-05,0,-6.2936e-05,0.0014699,0,0,0,0,1,0.33,-2.17,0.5,0
0.14059,0.018373,0.099754,0,0.99972,1,-0.00065205,-0.00021363,-6.3399e-05,0,-6.2936e-05,0.0014699,0,0,0,0,1,0.335,-2.165,0.5,0
0.14059,0.018371,0.099755,0,0.99972,1,-0.00064791,-0.00022942,-5.2442e-05,0,-5.2013e-05,0.0014558,0,0,0,0,1,0.34,-2.16,0.5,0
0.14059,0.018369,0.099757,0,0.99972,1,-0.00064406,-0.00022942,-5.2442e-05,0,-5.2013e-05,0.0014558,0,0,0,0,1,0.345,-2.155,0.5,0
0.14059,0.018367,0.099759,0,0.99972,1,-0.00064022,-0.00022942,-5.2442e-05,0,-5.2013e-05,0.0014558,0,0,0,0,1,0.35,-2.15,0.5,0
0.14059,0.018365,0.09976,0,0.99973,1,-0.00063638,-0.00022942,-5.2442e-05,0,-5.2013e-05,0.0014558,0,0,0,0,1,0.355,-2.145,0.5,0
0.14059,0.018363,0.099762,0,0.99973,1,-0.00063254,-0.00024479,-3.9121e-05,0,-3.8721e-05,0.0014434,0,0,0,0,1,0.36,-2.14,0.5,0
0.14059,0.018361,0.099763,0,0.99973,1,-0.00062893,-0.00024479,-3.9121e-05,0,-3.8721e-05,0.0014434,0,0,0,0,1,0.365,-2.135,0.5,0
0.14059,0.018358,0.099765,0,0.99973,1,-0.00062533,-0.00024479,-3.9121e-05,0,-3.8721e-05,0.0014434,0,0,0,0,1,0.37,-2.13,0.5,0
0.14059,0.018356,0.099766,0,0.99973,1,-0.00062172,-0.00024479,-3.9121e-05,0,-3.8721e-05,0.0014434,0,0,0,0,1,0.375,-2.125,0.5,0
0.14059,0.018354,0.099768,0,0.99973,1,-0.00061812,-0.00025978,-2.3525e-05,0,-2.3152e-05,0.0014323,0,0,0,0,1,0.38,-2.12,0.5,0
0.14058,0.018352,0.099769,0,0.99974,1,-0.00061469,-0.00025978,-2.3525e-05,0,-2.3152e-05,0.0014323,0,0,0,0,1,0.385,-2.115,0.5,0
0.14058,0.01835,0.099771,0,0.99974,1,-0.00061127,-0.00025978,-2.3525e-05,0,-2.3152e-05,0.0014323,0,0,0,0,1,0.39,-2.11,0.5,0
0.14058,0.018347,0.099772,0,0.99974,1,-0.00060784,-0.00025978,-2.3525e-05,0,-2.3152e-05,0.0014323,0,0,0,0,1,0.395,-2.105,0.5,0
0.14058,0.018345,0.099774,0,0.99974,1,-0.00060442,-0.00027448,-5.7448e-06,0,-5.3974e-06,0.0014221,0,0,0,0,1,0.4,-2.1,0.5,0
0.14058,0.018343,0.099775,0,0.99974,1,-0.00060112,-0.00027448,-5.7448e-06,0,-5.3974e-06,0.0014221,0,0,0,0,1,0.405,-2.095,0.5,0
0.14058,0.018341,0.099777,0,0.99974,1,-0.00059783,-0.00027448,-5.7448e-06,0,-5.3974e-06,0.0014221,0,0,0,0,1,0.41,-2.09,0.5,0
0.14058,0.018339,0.099778,0,0.99974,1,-0.00059453,-0.00027448,-5.7448e-06,0,-5.3974e-06,0.0014221,0,0,0,0,1,0.415,-2.085,0.5,0
0.14058,0.018336,0.09978,0,0.99975,1,-0.00059123,-0.00028897,1.4136e-05,0,1.446e-05,0.0014125,0,0,0,0,1,0.42,-2.08,0.5,0
0.14058,0.018334,0.099781,0,0.99975,1,-0.00058802,-0.00028897,1.4136e-05,0,1.446e-05,0.0014125,0,0,0,0,1,0.425,-2.075,0.5,0
0.14058,0.018332,0.099783,0,0.99975,1,-0.0005848,-0.00028897,1.4136e-05,0,1.446e-05,0.0014125,0,0,0,0,1,0.43,-2.07,0.5,0
0.14058,0.01833,0.099784,0,0.99975,1,-0.00058158,-0.00028897,1.4136e-05,0,1.446e-05,0.0014125,0,0,0,0,1,0.435,-2.065,0.5,0
0.14058,0.018327,0.099786,0,0.99975,1,-0.00057837,-0.00030337,3.6043e-05,0,3.6346e-05,0.0014032,0,0,0,0,1,0.44,-2.06,0.5,0
0.14057,0.018325,0.099787,0,0.99975,1,-0.00057519,-0.00030337,3.6043e-05,0,3.6346e-05,0.0014032,0,0,0,0,1,0.445,-2.055,0.5,0
0.14057,0.018323,0.099789,0,0.99975,1,-0.000572,-0.00030337,3.6043e-05,0,3.6346e-05,0.0014032,0,0,0,0,1,0.45,-2.05,0.5,0
0.14057,0.018321,0.09979,0,0.99976,1,-0.00056882,-0.00030337,3.6043e-05,0,3.6346e-05,0.0014032,0,0,0,0,1,0.455,-2.045,0.5,0
0.14057,0.018318,0.099792,0,0.99976,1,-0.00056564,-0.00031778,5.9913e-05,0,6.0195e-05,0.0013941,0,0,0,0,1,0.46,-2.04,0.5,0
0.14057,0.018316,0.099793,0,0.99976,1,-0.00056245,-0.00031778,5.9913e-05,0,6.0195e-05,0.0013941,0,0,0,0,1,0.465,-2.035,0.5,0
0.14057,0.018314,0.099795,0,0.99976,1,-0.00055926,-0.00031778,5.9913e-05,0,6.0195e-05,0.0013941,0,0,0,0,1,0.47,-2.03,0.5,0
0.14057,0.018312,0.099796,0,0.99976,1,-0.00055607,-0.00031778,5.9913e-05,0,6.0195e-05,0.0013941,0,0,0,0,1,0.475,-2.025,0.5,0
0.14057,0.018309,0.099798,0,0.99976,1,-0.00055288,-0.00033234,8.5693e-05,0,8.5957e-05,0.0013848,0,0,0,0,1,0.48,-2.02,0.5,0
0.14057,0.018307,0.099799,0,0.99976,1,-0.00054965,-0.00033234,8.5693e-05,0,8.5957e-05,0.0013848,0,0,0,0,1,0.485,-2.015,0.5,0
0.14057,0.018305,0.099801,0,0.99977,1,-0.00054641,-0.00033234,8.5693e-05,0,8.5957e-05,0.0013848,0,0,0,0,1,0.49,-2.01,0.5,0
0.14056,0.018302,0.099802,0,0.99977,1,-0.00054318,-0.00033234,8.5693e-05,0,8.5957e-05,0.0013848,0,0,0,0,1,0.495,-2.005,0.5,0
0.14056,0.0183,0.099804,0,0.99977,1,-0.00053995,-0.00034717,0.00011335,0,0.00011359,0.0013754,0,0,0,0,1,0.5,-2,0.5,0
0.14056,0.018298,0.099806,0,0.99977,1,-0.00053663,-0.00034717,0.00011335,0,0.00011359,0.0013754,0,0,0,0,1,0.505,-1.995,0.5,0
0.14056,0.018295,0.099807,0,0.99977,1,-0.00053332,-0.00034717,0.00011335,0,0.00011359,0.0013754,0,0,0,0,1,0.51,-1.99,0.5,0
