"Damage","Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.030965,0.096736,0,0.99647,1,-0.0070465,3.5925e-07,5.0957e-05,0,6.3037e-05,0.021124,0,0,0,0,1,0,-2.5,0.5,0
0,0.030948,0.096739,0,0.99648,1,-0.0070261,3.5925e-07,5.0957e-05,0,6.3037e-05,0.021124,0,0,0,0,1,0.0050001,-2.495,0.5,0
0,0.03093,0.096742,0,0.99649,1,-0.0070057,3.5925e-07,5.0957e-05,0,6.3037e-05,0.021124,0,0,0,0,1,0.01,-2.49,0.5,0
0,0.030913,0.096745,0,0.9965,1,-0.0069853,3.5925e-07,5.0957e-05,0,6.3037e-05,0.021124,0,0,0,0,1,0.015,-2.485,0.5,0
0,0.030895,0.096748,0,0.99651,1,-0.0069649,4.4362e-06,0.00022443,0,0.00023757,0.020864,0,0,0,0,1,0.02,-2.48,0.5,0
0,0.030878,0.096752,0,0.99652,1,-0.0069441,4.4362e-06,0.00022443,0,0.00023757,0.020864,0,0,0,0,1,0.025,-2.475,0.5,0
0,0.03086,0.096755,0,0.99653,1,-0.0069232,4.4362e-06,0.00022443,0,0.00023757,0.020864,0,0,0,0,1,0.03,-2.47,0.5,0
0,0.030843,0.096759,0,0.99654,1,-0.0069024,4.4362e-06,0.00022443,0,0.00023757,0.020864,0,0,0,0,1,0.035,-2.465,0.5,0
0,0.030826,0.096763,0,0.99655,1,-0.0068815,1.3237e-05,0.00037118,0,0.00038518,0.020595,0,0,0,0,1,0.04,-2.46,0.5,0
0,0.030809,0.096767,0,0.99656,1,-0.0068604,1.3237e-05,0.00037118,0,0.00038518,0.020595,0,0,0,0,1,0.045,-2.455,0.5,0
0,0.030792,0.096771,0,0.99657,1,-0.0068393,1.3237e-05,0.00037118,0,0.00038518,0.020595,0,0,0,0,1,0.05,-2.45,0.5,0
0,0.030774,0.096776,0,0.99659,1,-0.0068182,1.3237e-05,0.00037118,0,0.00038518,0.020595,0,0,0,0,1,0.055,-2.445,0.5,0
0,0.030757,0.09678,0,0.9966,1,-0.0067971,2.3794e-05,0.00049136,0,0.000506,0.020322,0,0,0,0,1,0.06,-2.44,0.5,0
0,0.030741,0.096785,0,0.99661,1,-0.0067759,2.3794e-05,0.00049136,0,0.000506,0.020322,0,0,0,0,1,0.065,-2.435,0.5,0
0,0.030724,0.096789,0,0.99662,1,-0.0067548,2.3794e-05,0.00049136,0,0.000506,0.020322,0,0,0,0,1,0.07,-2.43,0.5,0
0,0.030707,0.096794,0,0.99663,1,-0.0067336,2.3794e-05,0.00049136,0,0.000506,0.020322,0,0,0,0,1,0.075,-2.425,0.5,0
0,0.03069,0.096799,0,0.99664,1,-0.0067125,3.3207e-05,0.00058613,0,0.00060123,0.020051,0,0,0,0,1,0.08,-2.42,0.5,0
0,0.030673,0.096804,0,0.99665,1,-0.0066915,3.3207e-05,0.00058613,0,0.00060123,0.020051,0,0,0,0,1,0.085,-2.415,0.5,0
0,0.030657,0.096809,0,0.99666,1,-0.0066705,3.3207e-05,0.00058613,0,0.00060123,0.020051,0,0,0,0,1,0.09,-2.41,0.5,0
0,0.03064,0.096814,0,0.99667,1,-0.0066495,3.3207e-05,0.00058613,0,0.00060123,0.020051,0,0,0,0,1,0.095,-2.405,0.5,0
0,0.030623,0.09682,0,0.99668,1,-0.0066285,3.3207e-05,0.00058613,0,0.00060123,0.020051,0,0,0,0,1,0.1,-2.4,0.5,0
