"Damage","Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.030612,0.098395,0,0.99813,1,-0.0037461,5.2498e-07,0.00018593,0,0.0001825,0.010803,0,0,0,0,1,0,-2.5,0.5,0
0,0.030603,0.098394,0,0.99813,1,-0.0037411,5.2498e-07,0.00018593,0,0.0001825,0.010803,0,0,0,0,1,0.0050001,-2.495,0.5,0
0,0.030594,0.098393,0,0.99813,1,-0.0037355,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.01,-2.49,0.5,0
0,0.030585,0.098393,0,0.99814,1,-0.0037261,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.015,-2.485,0.5,0
0,0.030576,0.098392,0,0.99814,1,-0.0037167,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.02,-2.48,0.5,0
0,0.030566,0.098392,0,0.99814,1,-0.0037072,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.025,-2.475,0.5,0
0,0.030557,0.098392,0,0.99815,1,-0.0036978,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.03,-2.47,0.5,0
0,0.030548,0.098391,0,0.99815,1,-0.0036884,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.035,-2.465,0.5,0
0,0.030538,0.098391,0,0.99816,1,-0.003679,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.04,-2.46,0.5,0
0,0.030529,0.098391,0,0.99816,1,-0.0036696,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.045,-2.455,0.5,0
0,0.03052,0.09839,0,0.99817,1,-0.0036602,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.05,-2.45,0.5,0
0,0.030511,0.09839,0,0.99817,1,-0.0036507,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.055,-2.445,0.5,0
0,0.030501,0.09839,0,0.99818,1,-0.0036413,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.06,-2.44,0.5,0
0,0.030492,0.098389,0,0.99818,1,-0.0036319,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.065,-2.435,0.5,0
0,0.030483,0.098389,0,0.99819,1,-0.0036225,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.07,-2.43,0.5,0
0,0.030474,0.098389,0,0.99819,1,-0.0036131,3.3593e-06,0.0003654,0,0.00036299,0.010884,0,0,0,0,1,0.075,-2.425,0.5,0
0,0.030465,0.098389,0,0.9982,1,-0.0036056,1.3316e-05,0.00064848,0,0.00064675,0.010522,0,0,0,0,1,0.08,-2.42,0.5,0
0,0.030456,0.09839,0,0.9982,1,-0.0036008,1.3316e-05,0.00064848,0,0.00064675,0.010522,0,0,0,0,1,0.085,-2.415,0.5,0
0,0.030447,0.098391,0,0.9982,1,-0.003594,2.3883e-06,0.00077829,0,0.00077734,0.010529,0,0,0,0,1,0.09,-2.41,0.5,0
0,0.030438,0.098392,0,0.99821,1,-0.0035853,2.3883e-06,0.00077829,0,0.00077734,0.010529,0,0,0,0,1,0.095,-2.405,0.5,0
