"Damage","Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.021988,0.099522,0,0.99939,1,-0.0012114,1.5369e-07,2.8946e-05,0,3.0362e-05,0.0035972,0,0,0,0,1,0,-2.5,0.5,0
0,0.021985,0.099524,0,0.9994,1,-0.0011991,1.5369e-07,2.8946e-05,0,3.0362e-05,0.0035972,0,0,0,0,1,0.0050001,-2.495,0.5,0
0,0.021982,0.099527,0,0.99941,1,-0.0011867,1.5369e-07,2.8946e-05,0,3.0362e-05,0.0035972,0,0,0,0,1,0.01,-2.49,0.5,0
0,0.021979,0.099529,0,0.99941,1,-0.0011752,1.1226e-07,7.7963e-05,0,7.9285e-05,0.0034563,0,0,0,0,1,0.015,-2.485,0.5,0
0,0.021976,0.099531,0,0.99942,1,-0.0011648,1.1226e-07,7.7963e-05,0,7.9285e-05,0.0034563,0,0,0,0,1,0.02,-2.48,0.5,0
0,0.021974,0.099533,0,0.99942,1,-0.0011544,1.1226e-07,7.7963e-05,0,7.9285e-05,0.0034563,0,0,0,0,1,0.025,-2.475,0.5,0
0,0.021971,0.099535,0,0.99943,1,-0.001144,1.1226e-07,7.7963e-05,0,7.9285e-05,0.0034563,0,0,0,0,1,0.03,-2.47,0.5,0
0,0.021968,0.099537,0,0.99943,1,-0.0011331,9.4289e-07,0.00013431,0,0.00013574,0.0033604,0,0,0,0,1,0.035,-2.465,0.5,0
0,0.021965,0.099539,0,0.99944,1,-0.0011208,9.4289e-07,0.00013431,0,0.00013574,0.0033604,0,0,0,0,1,0.04,-2.46,0.5,0
0,0.021962,0.099542,0,0.99945,1,-0.0011085,9.4289e-07,0.00013431,0,0.00013574,0.0033604,0,0,0,0,1,0.045,-2.455,0.5,0
0,0.021959,0.099545,0,0.99945,1,-0.0010961,9.4289e-07,0.00013431,0,0.00013574,0.0033604,0,0,0,0,1,0.05,-2.45,0.5,0
0,0.021957,0.099547,0,0.99946,1,-0.0010853,-4.4786e-07,0.00018364,0,0.00018498,0.0031941,0,0,0,0,1,0.055,-2.445,0.5,0
0,0.021954,0.09955,0,0.99946,1,-0.0010751,-4.4786e-07,0.00018364,0,0.00018498,0.0031941,0,0,0,0,1,0.06,-2.44,0.5,0
0,0.021951,0.099552,0,0.99947,1,-0.0010649,-4.4786e-07,0.00018364,0,0.00018498,0.0031941,0,0,0,0,1,0.065,-2.435,0.5,0
