"Damage","Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.031893,0.098534,0,0.99833,1,-0.0033394,9.5416e-08,2.0383e-05,0,1.9652e-05,0.010021,0,0,0,0,1,0,-2.5,0.5,0
0,0.031885,0.098534,0,0.99833,1,-0.0033307,9.5416e-08,2.0383e-05,0,1.9652e-05,0.010021,0,0,0,0,1,0.0050001,-2.495,0.5,0
0,0.031876,0.098533,0,0.99834,1,-0.003322,-1.8364e-07,7.7393e-05,0,7.6855e-05,0.0099677,0,0,0,0,1,0.01,-2.49,0.5,0
0,0.031868,0.098533,0,0.99834,1,-0.0033133,-1.8364e-07,7.7393e-05,0,7.6855e-05,0.0099677,0,0,0,0,1,0.015,-2.485,0.5,0
0,0.03186,0.098533,0,0.99835,1,-0.0033046,-6.4393e-07,0.00013146,0,0.0001311,0.0099151,0,0,0,0,1,0.02,-2.48,0.5,0
0,0.031851,0.098533,0,0.99835,1,-0.003296,-6.4393e-07,0.00013146,0,0.0001311,0.0099151,0,0,0,0,1,0.025,-2.475,0.5,0
0,0.031843,0.098534,0,0.99836,1,-0.0032874,-1.3424e-06,0.00018268,0,0.00018249,0.0098631,0,0,0,0,1,0.03,-2.47,0.5,0
0,0.031835,0.098534,0,0.99836,1,-0.0032788,-1.3424e-06,0.00018268,0,0.00018249,0.0098631,0,0,0,0,1,0.035,-2.465,0.5,0
0,0.031827,0.098534,0,0.99836,1,-0.0032702,-2.3412e-06,0.00023116,0,0.00023113,0.0098116,0,0,0,0,1,0.04,-2.46,0.5,0
0,0.031819,0.098535,0,0.99837,1,-0.0032616,-2.3412e-06,0.00023116,0,0.00023113,0.0098116,0,0,0,0,1,0.045,-2.455,0.5,0
0,0.03181,0.098536,0,0.99837,1,-0.0032531,-3.7042e-06,0.00027703,0,0.00027715,0.0097608,0,0,0,0,1,0.05,-2.45,0.5,0
0,0.031802,0.098536,0,0.99838,1,-0.0032446,-3.7042e-06,0.00027703,0,0.00027715,0.0097608,0,0,0,0,1,0.055,-2.445,0.5,0
0,0.031794,0.098537,0,0.99838,1,-0.0032361,-5.4939e-06,0.00032041,0,0.00032066,0.0097109,0,0,0,0,1,0.06,-2.44,0.5,0
0,0.031786,0.098538,0,0.99838,1,-0.0032276,-5.4939e-06,0.00032041,0,0.00032066,0.0097109,0,0,0,0,1,0.065,-2.435,0.5,0
