"Damage","Displacement:0","Displacement:1","Displacement:2","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.066154,1.9215,0.0082774,1.0033,-0.15984,0.082363,0.0088009,0.0013133,-0.49194,0.46941,-0.0087306,0.0013158,-0.00022627,-4.2961e-05,1,0,0,0.1,0
0,-0.066336,1.9203,0.0082784,1.0032,-0.15998,0.082363,0.0088009,0.0013133,-0.49194,0.46941,-0.0087306,0.0013158,-0.00022627,-4.2961e-05,1,0.0005,0.0005,0.1,0
0,-0.066519,1.919,0.0082794,1.0031,-0.16012,0.082363,0.0088009,0.0013133,-0.49194,0.46941,-0.0087306,0.0013158,-0.00022627,-4.2961e-05,1,0.001,0.001,0.1,0
0,-0.066702,1.9178,0.0082803,1.003,-0.16026,0.082363,0.0088009,0.0013133,-0.49194,0.46941,-0.0087306,0.0013158,-0.00022627,-4.2961e-05,1,0.0015,0.0015,0.1,0
0,-0.066886,1.9166,0.0082809,1.0029,-0.1604,0.077065,0.0092475,0.00039579,-0.46261,0.51929,-0.0021179,0.000345,-0.00027258,-0.00053676,1,0.002,0.002,0.1,0
0,-0.067075,1.9154,0.0082808,1.0031,-0.16055,0.077065,0.0092475,0.00039579,-0.46261,0.51929,-0.0021179,0.000345,-0.00027258,-0.00053676,1,0.0025,0.0025,0.1,0
0,-0.067263,1.9142,0.0082806,1.0032,-0.1607,0.077065,0.0092475,0.00039579,-0.46261,0.51929,-0.0021179,0.000345,-0.00027258,-0.00053676,1,0.003,0.003,0.1,0
0,-0.067451,1.9131,0.0082805,1.0033,-0.16085,0.077065,0.0092475,0.00039579,-0.46261,0.51929,-0.0021179,0.000345,-0.00027258,-0.00053676,1,0.0035,0.0035,0.1,0
0,-0.067639,1.9119,0.0082804,1.0034,-0.161,0.077065,0.0092475,0.00039579,-0.46261,0.51929,-0.0021179,0.000345,-0.00027258,-0.00053676,1,0.004,0.004,0.1,0
0,-0.067827,1.9107,0.0082802,1.0035,-0.16115,0.077065,0.0092475,0.00039579,-0.46261,0.51929,-0.0021179,0.000345,-0.00027258,-0.00053676,1,0.0045,0.0045,0.1,0
0,-0.068015,1.9096,0.0082801,1.0036,-0.1613,0.077065,0.0092475,0.00039579,-0.46261,0.51929,-0.0021179,0.000345,-0.00027258,-0.00053676,1,0.005,0.005,0.1,0
0,-0.068202,1.9084,0.0082803,1.0035,-0.16143,0.084975,0.013817,-0.0011703,-0.48695,0.52459,0.011701,-0.0008403,0.00047843,0.010968,1,0.0055,0.0055,0.1,0
0,-0.068388,1.9071,0.0082808,1.0032,-0.16155,0.084975,0.013817,-0.0011703,-0.48695,0.52459,0.011701,-0.0008403,0.00047843,0.010968,1,0.006,0.006,0.1,0
0,-0.068574,1.9059,0.0082812,1.0029,-0.16167,0.084975,0.013817,-0.0011703,-0.48695,0.52459,0.011701,-0.0008403,0.00047843,0.010968,1,0.0065,0.0065,0.1,0
0,-0.06876,1.9047,0.0082817,1.0027,-0.16178,0.084975,0.013817,-0.0011703,-0.48695,0.52459,0.011701,-0.0008403,0.00047843,0.010968,1,0.007,0.007,0.1,0
0,-0.068946,1.9035,0.0082821,1.0024,-0.1619,0.084975,0.013817,-0.0011703,-0.48695,0.52459,0.011701,-0.0008403,0.00047843,0.010968,1,0.0075,0.0075,0.1,0
0,-0.069132,1.9022,0.0082826,1.0021,-0.16202,0.084975,0.013817,-0.0011703,-0.48695,0.52459,0.011701,-0.0008403,0.00047843,0.010968,1,0.008,0.008,0.1,0
0,-0.069318,1.901,0.008283,1.0018,-0.16214,0.084975,0.013817,-0.0011703,-0.48695,0.52459,0.011701,-0.0008403,0.00047843,0.010968,1,0.0085,0.0085,0.1,0
