"Damage","Displacement:0","Displacement:1","Displacement:2","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.10193,-0.0031195,2.7571,0.005039,1.0146,-0.00086153,-0.0005124,-0.00084793,6.5191e-05,-0.00086506,0.002177,3.5794e-05,8.5169e-05,2.7879e-05,5.7081e-05,1,0,0,0.06,0
0.10328,-0.0031214,2.7571,0.0050284,1.0141,-0.00087558,-0.0005124,-0.00084793,6.5191e-05,-0.00086506,0.002177,3.5794e-05,8.5169e-05,2.7879e-05,5.7081e-05,1,0.0005,0.0005,0.06,0
0.10463,-0.0031232,2.7571,0.0050177,1.0136,-0.00088963,-0.0005124,-0.00084793,6.5191e-05,-0.00086506,0.002177,3.5794e-05,8.5169e-05,2.7879e-05,5.7081e-05,1,0.001,0.001,0.06,0
0.10599,-0.0031251,2.7571,0.0050071,1.0131,-0.00090367,-0.0005124,-0.00084793,6.5191e-05,-0.00086506,0.002177,3.5794e-05,8.5169e-05,2.7879e-05,5.7081e-05,1,0.0015,0.0015,0.06,0
0.10734,-0.0031269,2.7571,0.0049965,1.0126,-0.00091772,-0.0005124,-0.00084793,6.5191e-05,-0.00086506,0.002177,3.5794e-05,8.5169e-05,2.7879e-05,5.7081e-05,1,0.002,0.002,0.06,0
0.10869,-0.0031287,2.7571,0.0049858,1.0121,-0.00093177,-0.0005124,-0.00084793,6.5191e-05,-0.00086506,0.002177,3.5794e-05,8.5169e-05,2.7879e-05,5.7081e-05,1,0.0025,0.0025,0.06,0
0.11005,-0.0031306,2.7571,0.0049752,1.0116,-0.00094582,-0.0005124,-0.00084793,6.5191e-05,-0.00086506,0.002177,3.5794e-05,8.5169e-05,2.7879e-05,5.7081e-05,1,0.003,0.003,0.06,0
0.1114,-0.0031324,2.7571,0.0049645,1.0111,-0.00095987,-0.0005124,-0.00084793,6.5191e-05,-0.00086506,0.002177,3.5794e-05,8.5169e-05,2.7879e-05,5.7081e-05,1,0.0035,0.0035,0.06,0
0.11345,-0.0031346,2.7571,0.0049535,1.0092,-0.00098222,-0.00049177,-0.00071621,-9.5299e-05,-0.0007485,0.0027908,0.00018964,-8.3371e-05,0.00017039,0.00022984,1,0.004,0.004,0.06,0
0.1157,-0.0031369,2.7571,0.0049425,1.0069,-0.0010069,-0.00049177,-0.00071621,-9.5299e-05,-0.0007485,0.0027908,0.00018964,-8.3371e-05,0.00017039,0.00022984,1,0.0045,0.0045,0.06,0
0.11795,-0.0031393,2.7571,0.0049314,1.0045,-0.0010317,-0.00049177,-0.00071621,-9.5299e-05,-0.0007485,0.0027908,0.00018964,-8.3371e-05,0.00017039,0.00022984,1,0.005,0.005,0.06,0
0.1202,-0.0031416,2.7571,0.0049203,1.0022,-0.0010564,-0.00049177,-0.00071621,-9.5299e-05,-0.0007485,0.0027908,0.00018964,-8.3371e-05,0.00017039,0.00022984,1,0.0055,0.0055,0.06,0
