"Damage","Displacement:0","Displacement:1","Displacement:2","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.01647,-0.0029606,2.7572,0.0048064,1.0001,-0.0004539,-0.0007724,-0.00068932,0.0001003,-0.00070456,0.0021762,0.00014868,0.00011638,0.00013465,0.00031874,1,0,0,0.08,0
0.017053,-0.0029624,2.7572,0.0047964,1.0001,-0.00045965,-0.0007724,-0.00068932,0.0001003,-0.00070456,0.0021762,0.00014868,0.00011638,0.00013465,0.00031874,1,0.0005,0.0005,0.08,0
0.017636,-0.0029642,2.7572,0.0047863,1.0001,-0.00046539,-0.0007724,-0.00068932,0.0001003,-0.00070456,0.0021762,0.00014868,0.00011638,0.00013465,0.00031874,1,0.001,0.001,0.08,0
0.018219,-0.002966,2.7572,0.0047763,1.0001,-0.00047114,-0.0007724,-0.00068932,0.0001003,-0.00070456,0.0021762,0.00014868,0.00011638,0.00013465,0.00031874,1,0.0015,0.0015,0.08,0
0.018802,-0.0029679,2.7572,0.0047663,1.0001,-0.00047688,-0.0007724,-0.00068932,0.0001003,-0.00070456,0.0021762,0.00014868,0.00011638,0.00013465,0.00031874,1,0.002,0.002,0.08,0
0.019385,-0.0029697,2.7572,0.0047563,1.0001,-0.00048263,-0.0007724,-0.00068932,0.0001003,-0.00070456,0.0021762,0.00014868,0.00011638,0.00013465,0.00031874,1,0.0025,0.0025,0.08,0
0.019968,-0.0029715,2.7572,0.0047463,1.0001,-0.00048838,-0.0007724,-0.00068932,0.0001003,-0.00070456,0.0021762,0.00014868,0.00011638,0.00013465,0.00031874,1,0.003,0.003,0.08,0
0.020551,-0.0029733,2.7572,0.0047363,1.0001,-0.00049412,-0.0007724,-0.00068932,0.0001003,-0.00070456,0.0021762,0.00014868,0.00011638,0.00013465,0.00031874,1,0.0035,0.0035,0.08,0
0.021134,-0.0029752,2.7572,0.0047262,1.0001,-0.00049987,-0.0007724,-0.00068932,0.0001003,-0.00070456,0.0021762,0.00014868,0.00011638,0.00013465,0.00031874,1,0.004,0.004,0.08,0
0.021717,-0.002977,2.7572,0.0047162,1.0001,-0.00050562,-0.0007724,-0.00068932,0.0001003,-0.00070456,0.0021762,0.00014868,0.00011638,0.00013465,0.00031874,1,0.0045,0.0045,0.08,0
